"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"135"	"HOWELLA SHERBORNI "	150	168333	"SHERBORN'S CARDINALFISH"	NA
"136"	"LOPHOLATILUS CHAMAELEONTICEPS"	151	168546	"TILEFISH"	"Goode and Bean, 1879"
"137"	"PONTINUS LONGISPINIS"	154	166801	"LONGSPINE SCORPIONFISH"	"Goode and Bean, 1896"
"138"	"SEBASTES FASCIATUS"	155	166774	"ACADIAN REDFISH"	"Storer, 1854"
"139"	"HELICOLENUS DACTYLOPTERUS"	156	166787	"BLACKBELLY ROSEFISH"	"(Delaroche, 1809)"
"140"	"ANTIGONIA CAPROS"	158	166311	"DEEPBODY BOARFISH"	"Lowe, 1843"
"141"	"ARTEDIELLUS "	159	167201	"HOOKEAR SCULPINS"	NA
"142"	"COTTIDAE"	160	167196	"SCULPIN UNCL"	NA
"143"	"TRIGLOPS MURRAYI"	161	167375	"MOUSTACHE SCULPIN"	"Guenther, 1888"
"144"	"MYOXOCEPHALUS SCORPIUS"	162	167318	"SHORTHORN SCULPIN"	"(Linnaeus, 1758)"
"145"	"MYOXOCEPHALUS OCTODECEMSPINOSUS"	163	167320	"LONGHORN SCULPIN"	"(Mitchill, 1814)"
"146"	"HEMITRIPTERUS AMERICANUS"	164	167289	"SEA RAVEN"	"(Gmelin, 1789)"
"147"	"ASPIDOPHOROIDES MONOPTERYGIUS"	165	167439	"ALLIGATORFISH"	"(Bloch, 1786)"
"148"	"MYOXOCEPHALUS AENAEUS"	166	167321	"GRUBBY"	"(Mitchill, 1814)"
"149"	"LIPARIS INQUILINUS"	167	167577	"INQUILINE SNAILFISH"	"Able, 1973"
"150"	"CYCLOPTERUS LUMPUS"	168	167612	"LUMPFISH"	"Linnaeus, 1758"
"151"	"EUMICROTREMUS SPINOSUS"	169	167545	"ATLANTIC SPINY LUMPSUCKER"	"(Mueller, 1777)"
"152"	"LIPARIS ATLANTICUS"	170	167576	"ATLANTIC SEASNAIL"	"(Jordan and Evermann, 1898)"
"153"	"PRIONOTUS CAROLINUS"	171	166974	"NORTHERN SEAROBIN"	"(Linnaeus, 1771)"
"154"	"PRIONOTUS EVOLANS"	172	166975	"STRIPED SEAROBIN"	"(Linnaeus, 1766)"
"155"	"PERISTEDION MINIATUM"	173	167010	"ARMORED SEAROBIN"	"Goode, 1880"
"156"	"TRIGLIDAE"	174	166972	"SEAROBIN UNCL"	NA
"157"	"DACTYLOPTERUS VOLITANS"	175	167624	"FLYING GURNARD"	"(Linnaeus, 1758)"
"158"	"TAUTOGOLABRUS ADSPERSUS"	176	170481	"CUNNER"	"(Walbaum, 1792)"
"159"	"TAUTOGA ONITIS"	177	170479	"TAUTOG"	"(Linnaeus, 1758)"
"160"	"ASTROSCOPUS GUTTATUS"	179	171055	"NORTHERN STARGAZER"	"Abbott, 1861"
"161"	"PHOLIS GUNNELLUS"	180	171645	"ROCK GUNNEL"	"(Linnaeus, 1758)"
"162"	"AMMODYTES DUBIUS"	181	171674	"NORTHERN SAND LANCE"	"Reinhardt, 1837"
"163"	"LUMPENUS LUMPRETAEFORMIS"	182	171588	"SNAKEBLENNY"	"(Walbaum, 1792)"
"164"	"LUMPENUS MACULATUS"	183	171584	"DAUBED SHANNY"	"(Fries, 1837)"
"165"	"ULVARIA SUBBIFURCATA"	184	171616	"RADIATED SHANNY"	"(Storer, 1839)"
"166"	"OPSANUS TAU"	185	164423	"OYSTER TOADFISH"	"(Linnaeus, 1766)"
"167"	"OTOPHIDIUM OMOSTIGMUM"	186	164859	"POLKA-DOT CUSK-EEL"	"(Jordan and Gilbert, 1882)"
"168"	"MULLUS AURATUS"	187	169417	"RED GOATFISH"	"Jordan and Gilbert, 1882"
"169"	"OPHIDION MARGINATUM"	188	164852	"STRIPED CUSK-EEL"	"(De Kay, 1842)"
"170"	"LYCODES RETICULATUS"	189	165280	"ARCTIC EELPOUT"	"Reinhardt, 1835"
"171"	"LYCENCHELYS VERRILLI"	190	165242	"WOLF EELPOUT"	"(Goode and Bean, 1877)"
"172"	"CRYPTACANTHODES MACULATUS"	191	171609	"WRYMOUTH"	"Storer, 1839"
"173"	"ANARHICHAS LUPUS"	192	171341	"ATLANTIC WOLFFISH"	"Linnaeus, 1758"
"174"	"MACROZOARCES AMERICANUS"	193	165318	"OCEAN POUT"	"(Schneider, 1801)"
