"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"527"	"LUTJANUS BUCCANELLA"	588	168852	"BLACKFIN SNAPPER"	"(Cuvier, 1828)"
"528"	"LUTJANUS CAMPECHANUS"	589	168853	"RED SNAPPER"	"(Poey, 1860)"
"529"	"LUTJANUS GRISEUS"	590	168848	"GRAY SNAPPER"	"(Linnaeus, 1758)"
"530"	"LUTJANUS JOCU"	591	168857	"DOG SNAPPER"	"(Bloch and Schneider, 1801)"
"531"	"LUTJANUS SYNAGRIS"	592	168860	"LANE SNAPPER"	"(Linnaeus, 1758)"
"532"	"LUTJANUS VIVANUS"	593	168861	"SILK SNAPPER"	"(Cuvier in Cuvier and Valenciennes, 1828)"
"533"	"OCYURUS CHRYSURUS"	594	168907	"YELLOWTAIL SNAPPER"	"(Bloch, 1790)"
"534"	"PRISTIPOMOIDES AQUILONARIS"	595	168913	"WENCHMAN"	"(Goode and Bean, 1896)"
"535"	"RHOMBOPLITES AURORUBENS"	596	168909	"VERMILION SNAPPER"	"(Cuvier in Cuvier and Valenciennes, 1829)"
"536"	"LUTJANIDAE"	597	168845	"SNAPPER UNCL"	NA
"537"	"LOBOTES SURINAMENSIS"	598	169007	"TRIPLETAIL"	"(Bloch, 1790)"
"538"	"EUCINOSTOMUS GULA"	599	169016	"SILVER JENNY"	"(Quoy and Gaimard, 1824)"
"539"	"SQUALIDAE"	600	160604	NA	"Blainville, 1816"
"540"	"ETMOPTERUS GRACILISPINIS"	601	160669	"BROADBAND DOGFISH"	"Krefft, 1968"
"541"	"ETMOPTERUS HILLIANUS"	602	160657	"CARIBBEAN LANTERNSHARK"	"(Poey, 1861)"
"542"	"CENTROSCYMNUS COELOLEPIS"	603	160724	"PORTUGUESE SHARK"	"Bocage and Capello, 1864"
"543"	"ACANTHOCARPUS ALEXANDRI"	604	98355	"GLADIATOR BOX CRAB"	"Stimpson, 1871"
"544"	"COOKEOLUS JAPONICUS"	616	168195	"BULLEYE"	"(Cuvier, 1829)"
"545"	"XENOLEPIDICHTHYS DALGLEISHI"	617	166302	"SPOTTED TINSELFISH"	"Gilchrist, 1922"
"546"	"GRAMMATIDAE"	618	553216	"BASSLET UNCL"	NA
"547"	"POMACENTRIDAE"	619	170044	"DAMSELFISH UNCL"	NA
"548"	"SPHYRAENA "	620	170425	"BARRACUDAS"	NA
"549"	"CAULOLATILUS MICROPS"	621	168543	"BLUELINE TILEFISH"	"Goode and Bean, 1878"
"550"	"CAULOLATILUS CHRYSOPS"	622	168544	"GOLDFACE TILEFISH"	"(Valenciennes, 1833)"
"551"	"CAULOLATILUS INTERMEDIUS"	623	168542	"ANCHOR TILEFISH"	"Howell Rivero, 1936"
"552"	"MALACANTHUS PLUMIERI"	624	168548	"SAND TILEFISH"	"(Bloch, 1787)"
"553"	"GERREIDAE"	625	169013	"MOJARRA UNCL"	NA
"554"	"ANISOTREMUS VIRGINICUS"	626	169086	"PORKFISH"	"(Linnaeus, 1758)"
"555"	"HAEMULON AUROLINEATUM"	627	169058	"TOMTATE"	"Cuvier, 1830"
"556"	"HAEMULON CARBONARIUM"	628	169063	"CAESAR GRUNT"	"Poey, 1860"
"557"	"HAEMULON PLUMIERI"	629	169059	"WHITE GRUNT"	"(Lacepede, 1801)"
"558"	"HAEMULIDAE"	630	169055	"GRUNT UNCL"	NA
"559"	"ARCHOSARGUS PROBATOCEPHALUS"	631	169189	"SHEEPSHEAD"	"(Walbaum in Artedi, 1792)"
"560"	"CALAMUS BAJONADO"	632	169197	"JOLTHEAD PORGY"	"(Schneider, 1801)"
"561"	"CALAMUS CALAMUS"	633	169198	"SAUCEREYE PORGY"	"(Valenciennes, 1830)"
"562"	"CALAMUS LEUCOSTEUS"	634	169200	"WHITEBONE PORGY"	"Jordan and Gilbert, 1885"
"563"	"CALAMUS NODOSUS"	635	169201	"KNOBBED PORGY"	"Randall and Caldwell, 1966"
"564"	"CALAMUS PENNA"	636	169205	"SHEEPSHEAD PORGY"	"(Valenciennes, 1830)"
"565"	"CALAMUS PRORIDENS"	637	169203	"LITTLEHEAD PORGY"	"Jordan and Gilbert, 1884"
"566"	"DIPLODUS ARGENTEUS"	638	169193	"SILVER PORGY"	"(Valenciennes, 1830)"
"567"	"DIPLODUS HOLBROOKII "	639	169192	"SPOTTAIL PINFISH"	NA
"568"	"LAGODON RHOMBOIDES"	640	169187	"PINFISH"	"(Linnaeus, 1766)"
"569"	"PAGRUS SEDECIM"	641	169208	"RED PORGY"	"Ginsburg"
"570"	"SPARIDAE"	643	169180	"PORGY AND PINFISH UNCL"	NA
"571"	"CYNOSCION ARENARIUS"	644	169243	"SAND SEATROUT"	"Ginsberg, 1930"
"572"	"CYNOSCION NEBULOSUS"	645	169239	"SPOTTED SEATROUT"	"(Cuvier in Cuvier and Valenciennes, 1830)"
"573"	"CYNOSCION NOTHUS"	646	169240	"SILVER SEATROUT"	"(Holbrook, 1855)"
"574"	"EQUETUS ACUMINATUS"	647	169313	"HIGH-HAT"	"(Schneider, 1801)"
"575"	"EQUETUS LANCEOLATUS"	648	169314	"JACKKNIFE-FISH"	"(Linnaeus, 1758)"
"576"	"EQUETUS PUNCTATUS"	649	169317	"SPOTTED DRUM"	"(Schneider, 1801)"
"577"	"EQUETUS UMBROSUS"	650	169318	"CUBBYU"	"Jordan and Eigenmann, 1889"
"578"	"LARIMUS FASCIATUS"	651	169269	"BANDED DRUM"	"Holbrook, 1855"
"579"	"MENTICIRRHUS AMERICANUS"	652	169274	"SOUTHERN KINGFISH"	"(Linnaeus, 1758)"
"580"	"MENTICIRRHUS LITTORALIS"	653	169275	"GULF KINGFISH"	"(Holbrook, 1855)"
"581"	"SCIAENOPS OCELLATUS"	654	169290	"RED DRUM"	"(Linnaeus, 1766)"
"582"	"STELLIFER LANCEOLATUS"	655	169292	"STAR DRUM"	"(Holbrook, 1855)"
"583"	"PSEUDUPENEUS MACULATUS"	656	169421	"SPOTTED GOATFISH"	"(Bloch, 1793)"
"584"	"UPENEUS PARVUS"	657	169441	"DWARF GOATFISH"	"Poey, 1853"
"585"	"KYPHOSUS SECTATRIX"	658	169506	"BERMUDA CHUB"	"(Linnaeus, 1758)"
"586"	"CHAETODIPTERUS FABER"	659	169539	"ATLANTIC SPADEFISH"	"(Broussonet, 1782)"
"587"	"CHAETODON AYA"	660	169557	"BANK BUTTERFLYFISH"	"Jordan, 1886"
"588"	"CHAETODON CAPISTRATUS"	661	169558	"FOUREYE BUTTERFLYFISH"	"Linnaeus, 1758"
"589"	"CHAETODON OCELLATUS"	662	169556	"SPOTFIN BUTTERFLYFISH"	"Bloch, 1787"
"590"	"CHAETODON SEDENTARIUS"	663	169562	"REEF BUTTERFLYFISH"	"Poey, 1860"
"591"	"CHAETODON STRIATUS"	664	169563	"BANDED BUTTERFLYFISH"	"Linnaeus, 1758"
"592"	"HOLACANTHUS BERMUDENSIS"	665	169626	"BLUE ANGELFISH"	"Goode, 1876"
"593"	"HOLACANTHUS CILIARIS"	666	169623	"QUEEN ANGELFISH"	"(Linnaeus, 1758)"
"594"	"HOLACANTHUS TRICOLOR"	667	169625	"ROCK BEAUTY"	"(Bloch, 1795)"
"595"	"POMACANTHUS ARCUATUS"	668	169632	"GRAY ANGELFISH"	"(Linnaeus, 1758)"
"596"	"ABUDEFDUF SAXATILIS"	669	170046	"SERGEANT MAJOR"	"(Linnaeus, 1758)"
"597"	"CHROMIS ENCHRYSURUS"	670	170081	"YELLOWTAIL REEFFISH"	"Jordan and Gilbert, 1882"
"598"	"CHROMIS INSOLATA"	671	170082	"SUNSHINEFISH"	"(Cuvier, 1830)"
"599"	"POMACENTRUS LEUCOSTICTUS"	672	170180	"BEAUGREGORY"	"Mueller and Troschel, 1848"
"600"	"BODIANUS PULCHELLUS"	673	170483	"SPOTFIN HOGFISH"	"(Poey, 1860)"
"601"	"CLEPTICUS PARRAE"	674	170496	"CREOLE WRASSE"	"(Bloch and Schneider, 1801)"
"602"	"DECODON PUELLARIS"	675	170498	"RED HOGFISH"	"(Poey, 1860)"
"603"	"HALICHOERES BATHYPHILUS"	676	170502	"GREENBAND WRASSE"	"(Beebe and Tee-van, 1932)"
"604"	"HALICHOERES BIVITTATUS"	677	170503	"SLIPPERY DICK"	"(Bloch, 1791)"
"605"	"HALICHOERES CAUDALIS"	678	170504	"PAINTED WRASSE"	"(Poey, 1860)"
"606"	"HALICHOERES POEYI"	679	170509	"BLACKEAR WRASSE"	"(Steindachner, 1867)"
"607"	"HALICHOERES RADIATUS"	680	170510	"PUDDINGWIFE"	"(Linnaeus, 1758)"
"608"	"HEMIPTERONOTUS NOVACULA"	681	170537	"PEARLY RAZORFISH"	"(Linnaeus, 1758)"
"609"	"LACHNOLAIMUS MAXIMUS"	682	170566	"HOGFISH"	"(Walbaum, 1792)"
"610"	"LABRIDAE"	683	170477	"WRASSE UNCL"	NA
"611"	"CRYPTOTOMUS ROSEUS"	684	170857	"BLUELIP PARROTFISH"	"Cope, 1871"
"612"	"NICHOLSINA USTA"	685	170860	"EMERALD PARROTFISH"	"(Valenciennes, 1839)"
"613"	"SCARUS COERULEUS"	686	170811	"BLUE PARROTFISH"	"(Bloch, 1786)"
"614"	"SPARISOMA RADIANS"	687	170865	"BUCKTOOTH PARROTFISH"	"(Valenciennes, 1839)"
"615"	"SCARIDAE"	688	170809	"PARROTFISH UNCL"	NA
"616"	"MUGIL CEPHALUS"	689	170335	"STRIPED MULLET"	"Linnaeus, 1758"
"617"	"MUGIL CUREMA"	690	170336	"WHITE MULLET"	"Valenciennes in Cuvier and Valenciennes, 1836"
"618"	"MUGIL LIZA"	691	170338	"LIZA"	"Valenciennes in Cuvier and Valenciennes, 1836"
"619"	"MUGIL GYRANS"	692	170351	"FANTAIL MULLET"	"(Jordan and Gilbert, 1884)"
"620"	"SPHYRAENA BARRACUDA"	693	170429	"GREAT BARRACUDA"	"(Walbaum in Artedi, 1792)"
"621"	"SPHYRAENA BOREALIS"	694	170427	"NORTHERN SENNET"	"De Kay, 1842"
"622"	"SPHYRAENA GUACHANCHO"	695	170428	"GUAGUANCHE"	"Cuvier, 1829"
"623"	"OPISTOGNATHUS LONCHURUS"	696	170926	"MOUSTACHE JAWFISH"	"(Jordan and Gilbert, 1882)"
"624"	"OPISTOGNATHUS MAXILLOSUS"	697	170927	"MOTTLED JAWFISH"	"(Poey, 1860)"
"625"	"BEMBROPS GOBIOIDES"	698	170998	"GOBY FLATHEAD"	"(Goode, 1880)"
"626"	"ASTROSCOPUS Y-GRAECUM"	699	171056	"SOUTHERN STARGAZER"	"(Cuvier, 1829)"
"627"	"XIPHIAS GLADIUS"	700	172482	"SWORDFISH"	"Linnaeus, 1758"
"628"	"AUXIS ROCHEI"	701	172455	"BULLET MACKEREL"	"(Risso, 1810)"
"629"	"AUXIS THAZARD"	702	172456	"FRIGATE MACKEREL"	"(Lacepede, 1800)"
"630"	"THUNNUS ALALUNGA"	703	172419	"ALBACORE"	"(Bonnaterre, 1788)"
"631"	"THUNNUS ALBACARES"	704	172423	"YELLOWFIN TUNA"	"(Bonnaterre, 1788)"
"632"	"THUNNUS ATLANTICUS"	705	172427	"BLACKFIN TUNA"	"(Lesson, 1830)"
"633"	"THUNNUS OBESUS"	706	172428	"BIGEYE TUNA"	"(Lowe, 1839)"
"634"	"MAKAIRA NIGRICANS"	707	172491	"BLUE MARLIN"	"Lacepede, 1802"
"635"	"TETRAPTURUS ALBIDUS"	708	172499	"WHITE MARLIN"	"Poey, 1860"
"636"	"XENOCEPHALUS EGREGIUS "	725	630400	"FRECKLED STARGAZER"	NA
"637"	"KATHETOSTOMA ALBIGUTTA"	726	171061	"LANCER STARGAZER"	"(Bean, 1892)"
"638"	"CLINIDAE"	727	171396	"CLINID UNCL"	NA
"639"	"PARABLENNIUS MARMOREUS"	728	171304	"SEAWEED BLENNY"	"(Poey, 1876)"
"640"	"CHASMODES BOSQUIANUS"	729	171164	"STRIPED BLENNY"	"(Lacepede, 1800)"
"641"	"HYPLEUROCHILUS GEMINATUS"	730	171198	"CRESTED BLENNY"	"(Wood, 1825)"
"642"	"HYPSOBLENNIUS HENTZ"	731	171156	"FEATHER BLENNY"	"(Lesueur, 1825)"
"643"	"HYPSOBLENNIUS IONTHAS"	732	171157	"FRECKLED BLENNY"	"(Jordan and Gilbert, 1882)"
"644"	"BLENNIIDAE"	733	171124	"COMBTOOTH BLENNY UNCL"	NA
"645"	"AMMODYTES AMERICANUS"	734	171673	"AMERICAN SAND LANCE"	"De Kay, 1842"
"646"	"FOETOREPUS AGASSIZI"	735	171740	"SPOTFIN DRAGONET"	"(Goode and Bean, 1888)"
"647"	"DORMITATOR MACULATUS"	736	171919	"FAT SLEEPER"	"(Bloch, 1792)"
"648"	"BATHYGOBIUS SOPORATOR"	737	171820	"FRILLFIN GOBY"	"(Valenciennes in Cuvier and Valenciennes, 1837)"
"649"	"GOBIOSOMA BOSC"	738	171789	"NAKED GOBY"	"(Lacepede, 1800)"
"650"	"GOBIIDAE"	739	171746	"GOBY UNCL"	NA
"651"	"ACANTHURUS BAHIANUS"	740	172252	"OCEAN SURGEON"	"Castelnau, 1855"
"652"	"ACANTHURUS CHIRURGUS"	741	172253	"DOCTORFISH"	"(Bloch, 1787)"
"653"	"ACANTHURUS COERULEUS"	742	172254	"BLUE TANG"	"Schneider, 1801"
"654"	"EUTHYNNUS ALLETTERATUS"	743	172402	"LITTLE TUNNY"	"(Rafinesque, 1810)"
"655"	"SCOMBEROMORUS CAVALLA"	744	172435	"KING MACKEREL"	"(Cuvier, 1829)"
"656"	"SCOMBEROMORUS MACULATUS"	745	172436	"SPANISH MACKEREL"	"(Mitchill, 1815)"
"657"	"SCOMBEROMORUS REGALIS"	746	172437	"CERO"	"(Bloch, 1793)"
"658"	"THUNNUS THYNNUS"	747	172421	"BLUEFIN TUNA"	"(Linnaeus, 1758)"
"659"	"ARIOMMA REGULUS"	748	172540	"SPOTTED DRIFTFISH"	"(Poey, 1868)"
"660"	"PEPRILUS ALEPIDOTUS"	749	172570	"HARVESTFISH"	"(Linnaeus, 1766)"
"661"	"STROMATEIDAE"	750	172563	"BUTTERFISH UNCL"	NA
"662"	"NEOMERINTHE HEMINGWAYI"	751	166794	"SPINYCHEEK SCORPIONFISH"	"Fowler, 1935"
"663"	"PONTINUS RATHBUNI"	752	166803	"HIGHFIN SCORPIONFISH"	"Goode and Bean, 1896"
"664"	"SCORPAENA AGASSIZI"	753	166812	"LONGFIN SCORPIONFISH"	"Goode and Bean, 1896"
"665"	"SCORPAENA BRASILIENSIS"	754	166816	"BARBFISH"	"Cuvier, 1829"
"666"	"SCORPAENA CALCARATA"	755	166817	"SMOOTHHEAD SCORPIONFISH"	"Goode and Bean, 1882"
"667"	"SCORPAENA DISPAR"	756	166818	"HUNCHBACK SCORPIONFISH"	"Longley and Hildebrand, 1940"
"668"	"SCORPAENA GRANDICORNIS"	757	166820	"PLUMED SCORPIONFISH"	"Cuvier, 1829"
"669"	"SCORPAENA PLUMIERI"	758	166825	"SPOTTED SCORPIONFISH"	"Bloch, 1789"
"670"	"SCORPAENIDAE"	759	166704	"SCORPIONFISH AND ROCKFISH UNCL"	NA
"671"	"BELLATOR BRACHYCHIR"	760	166998	"SHORTFIN SEAROBIN"	"(Regan, 1914)"
"672"	"BELLATOR EGRETTA"	761	166999	"STREAMER SEAROBIN"	"(Goode and Bean, 1896)"
"673"	"BELLATOR MILITARIS"	762	167000	"HORNED SEAROBIN"	"(Goode and Bean, 1896)"
"674"	"PERISTEDION GRACILE"	763	167006	"SLENDER SEAROBIN"	"Goode and Bean, 1896"
"675"	"PRIONOTUS ALATUS"	764	166978	"SPINY SEAROBIN"	"Goode and Bean, 1883"
"676"	"PRIONOTUS OPHRYAS"	765	166986	"BANDTAIL SEAROBIN"	"Jordan and Swain, 1884"
"677"	"PRIONOTUS ROSEUS"	766	166990	"BLUESPOTTED SEAROBIN"	"Jordan and Evermann, 1896"
"678"	"PRIONOTUS LONGISPINOSUS"	767	166996	"BIGEYE SEAROBIN"	"Teague, 1951"
"679"	"PRIONOTUS RUBIO"	768	166991	"BLACKWING SEAROBIN"	"Jordan, 1886"
"680"	"PRIONOTUS SCITULUS"	769	166976	"LEOPARD SEAROBIN"	"Jordan and Gilbert, 1882"
"681"	"PRIONOTUS TRIBULUS"	770	166977	"BIGHEAD SEAROBIN"	"Cuvier, 1829"
"682"	"MYOXOCEPHALUS QUADRICORNIS"	772	167316	"FOURHORN SCULPIN"	"(Linnaeus, 1758)"
"683"	"PLEURONECTIDAE"	773	172859	"RIGHTEYE FLOUNDER UNCL"	NA
"684"	"ANCYLOPSETTA DILECTA"	774	172754	"THREE-EYE FLOUNDER"	"(Goode and Bean, 1883)"
"685"	"ANCYLOPSETTA QUADROCELLATA"	775	172757	"OCELLATED FLOUNDER"	"Gill, 1884"
"686"	"BOTHUS LUNATUS"	776	172759	"PEACOCK FLOUNDER"	"(Linnaeus, 1758)"
"687"	"BOTHUS OCELLATUS"	777	172761	"EYED FLOUNDER"	"(Agassiz, 1831)"
"688"	"CHASCANOPSETTA LUGUBRIS"	778	172773	"PELICAN FLOUNDER"	"Alcock, 1894"
"689"	"CITHARICHTHYS ARENACEUS"	779	172720	"SAND WHIFF"	"Evermann and Marsh, 1900"
"690"	"CITHARICHTHYS CORNUTUS"	780	172721	"HORNED WHIFF"	"(Guenther, 1880)"
"691"	"CITHARICHTHYS MACROPS"	781	172724	"SPOTTED WHIFF"	"Dresel, 1885"
"692"	"CITHARICHTHYS SPILOPTERUS"	782	172725	"BAY WHIFF"	"Guenther, 1862"
"693"	"CYCLOPSETTA FIMBRIATA"	783	172777	"SPOTFIN FLOUNDER"	"(Goode and Bean, 1885)"
"694"	"ENGYOPHRYS SENTA"	784	172779	"SPINY FLOUNDER"	"Ginsburg, 1933"
"695"	"ETROPUS CROSSOTUS"	785	172729	"FRINGED FLOUNDER"	"Jordan and Gilbert, 1882"
"696"	"ETROPUS RIMOSUS"	786	172732	"GRAY FLOUNDER"	"Goode and Bean, 1885"
"697"	"GASTROPSETTA FRONTALIS"	787	172781	"SHRIMP FLOUNDER"	"Bean, 1895"
"698"	"PARALICHTHYS ALBIGUTTA"	788	172736	"GULF FLOUNDER"	"Jordan and Gilbert, 1882"
"699"	"PARALICHTHYS LETHOSTIGMA"	789	172738	"SOUTHERN FLOUNDER"	"Jordan and Gilbert, 1884"
"700"	"PARALICHTHYS SQUAMILENTUS"	790	172740	"BROAD FLOUNDER"	"Jordan and Gilbert, 1882"
"701"	"SYACIUM GUNTERI"	791	172791	"SHOAL FLOUNDER"	"Ginsburg, 1933"
"702"	"SYACIUM MICRURUM"	792	172792	"CHANNEL FLOUNDER"	"Ranzani, 1840"
"703"	"SYACIUM PAPILLOSUM"	793	172793	"DUSKY FLOUNDER"	"(Linnaeus, 1758)"
"704"	"ETROPUS "	794	172728	"ETROPUS UNCL"	NA
"705"	"BOTHIDAE"	795	172714	"LEFTEYE FLOUNDER UNCL"	NA
"706"	"GYMNACHIRUS MELAS"	796	172991	"NAKED SOLE"	"(Nichols, 1916)"
"707"	"SYMPHURUS CIVITATUS"	797	173063	"OFFSHORE TONGUEFISH"	"Ginsburg, 1951"
"708"	"SYMPHURUS DIOMEDIANUS"	798	173064	"SPOTTEDFIN TONGUEFISH"	"(Goode and Bean, 1886)"
"709"	"SYMPHURUS MINOR"	799	173066	"LARGESCALE TONGUEFISH"	"Ginsburg, 1951"
"710"	"BALISTIDAE"	820	173128	"TRIGGERFISH FILEFISH UNCL"	NA
"711"	"SYMPHURUS MARGINATUS"	821	173065	"SLENDER TONGUEFISH"	NA
"712"	"TRICHIURIDAE"	822	172378	"SNAKE MACKEREL UNCL"	NA
"713"	"RUVETTUS PRETIOSUS"	823	172364	"OILFISH"	"Cocco, 1829"
"714"	"LEPIDOCYBIUM FLAVOBRUNNEUM"	824	172362	"ESCOLAR"	"(Smith, 1849)"
"715"	"SYMPHURUS PLAGIUSA"	825	173062	"BLACKCHEEK TONGUEFISH"	"(Linnaeus, 1766)"
"716"	"SYMPHURUS PUSILLUS"	826	173070	"NORTHERN TONGUEFISH"	"(Goode and Bean, 1885)"
"717"	"SYMPHURUS UROSPILUS"	827	173071	"SPOTTAIL TONGUEFISH"	"(Ginsberg, 1951)"
"718"	"PARAHOLLARDIA LINEATA"	829	173121	"JAMBEAU"	"(Longley, 1935)"
"719"	"ALUTERUS HEUDELOTI"	830	173132	"DOTTEREL FILEFISH"	"Hollard, 1855"
"720"	"ALUTERUS MONOCEROS"	831	173133	"UNICORN FILEFISH"	"(Linnaeus, 1758)"
"721"	"ALUTERUS SCHOEPFI"	832	173131	"ORANGE FILEFISH"	"(Walbaum, 1792)"
"722"	"ALUTERUS SCRIPTUS"	833	173134	"SCRAWLED FILEFISH"	"(Osbeck, 1765)"
"723"	"BALISTES VETULA"	834	173139	"QUEEN TRIGGERFISH"	"Linnaeus, 1758"
"724"	"CANTHIDERMIS SUFFLAMEN"	835	173170	"OCEAN TRIGGERFISH"	"(Mitchill, 1815)"
"725"	"MONACANTHUS CILIATUS"	836	173179	"FRINGED FILEFISH"	"(Mitchill, 1818)"
"726"	"LACTOPHRYS BICAUDALIS"	837	173238	"SPOTTED TRUNKFISH"	"(Linnaeus, 1758)"
"727"	"LACTOPHRYS POLYGONIA"	838	173241	"HONEYCOMB COWFISH"	"(Poey, 1876)"
"728"	"LACTOPHRYS QUADRICORNIS"	839	173240	"SCRAWLED COWFISH"	"(Linnaeus, 1758)"
"729"	"LACTOPHRYS TRIGONUS"	840	173237	"TRUNKFISH"	"(Linnaeus, 1758)"
"730"	"LACTOPHRYS TRIQUETER"	841	173239	"SMOOTH TRUNKFISH"	"(Linnaeus, 1758)"
"731"	"CANTHIGASTER ROSTRATA"	842	173320	"SHARPNOSE PUFFER"	"(Bloch, 1782)"
"732"	"SPHOEROIDES DORSALIS"	843	173294	"MARBLED PUFFER"	"Longley, 1934"
"733"	"SPHOEROIDES NEPHELUS"	844	173297	"SOUTHERN PUFFER"	"(Goode and Bean, 1882)"
"734"	"SPHOEROIDES SPENGLERI"	845	173300	"BANDTAIL PUFFER"	"(Bloch, 1782)"
"735"	"SPHOEROIDES TESTUDINEUS"	846	173291	"CHECKERED PUFFER"	"(Linnaeus, 1758)"
"736"	"CHILOMYCTERUS ANTILLARUM"	847	173386	"WEB BURRFISH"	"Jordan and Rutter, 1897"
"737"	"CHILOMYCTERUS ATINGA"	848	173387	"SPOTTED BURRFISH"	"(Linnaeus, 1758)"
"738"	"DIODON HOLOCANTHUS"	849	173392	"BALLOONFISH"	"Linnaeus, 1758"
"739"	"DIODON HYSTRIX"	850	173391	"PORCUPINEFISH"	"Linnaeus, 1758"
"740"	"ENGRAULIDAE"	851	553173	"ANCHOVY UNCL"	NA
"741"	"SYNODONTIDAE"	852	162374	"LIZARDFISH UNCL"	NA
"742"	"PARALICHTHYS "	853	172734	"SUMMER FLOUNDERS"	NA
"743"	"POMACENTRUS VARIABILIS"	854	170186	"COCOA DAMSELFISH"	"Castelnau, 1855"
"744"	"CHAETODONTIDAE"	855	169554	"BUTTERFLYFISH UNCL"	NA
"745"	"ARGENTINA STRIATA"	856	162067	"STRIATED ARGENTINE"	"Goode and Bean, 1895"
"746"	"URANOSCOPIDAE"	857	171053	"STARGAZER UNCL"	NA
"747"	"SCIAENIDAE"	858	169237	"DRUM UNCL"	NA
"748"	"ANCHOA LYOLEPIS"	859	161842	"DUSKY ANCHOVY"	"(Evermann and Marsh, 1900)"
"749"	"SCOMBRIDAE"	860	172398	"MACKEREL AND TUNA UNCL"	NA
"750"	"TETRAODONTIDAE"	861	173283	"PUFFER UNCL"	NA
"751"	"CHAUNAX STIGMAEUS"	862	164572	"REDEYE GAPER"	"Fowler, 1946"
"752"	"EPINEPHELUS MYSTACINUS"	863	167703	"MISTY GROUPER"	"(Poey, 1852)"
"753"	"PROGNATHODES ACULEATUS"	864	169593	"LONGSNOUT BUTTERFLYFISH"	"(Poey, 1860)"
"754"	"ENGRAULIS EURYSTOLE"	865	161830	"SILVER ANCHOVY"	"(Swain and Meek, 1884)"
"755"	"CITHARICHTHYS "	866	172715	"SANDDABS"	NA
"756"	"LAEMONEMA BARBATULUM"	867	164675	NA	"Goode and Bean, 1883"
"757"	"OPHIDION SELENOPS"	869	164843	"MOONEYE CUSK-EEL"	"Robins and Boehlke, 1959"
"758"	"GYMNOTHORAX SAXICOLA"	870	161192	"HONEYCOMB MORAY"	"Jordan and Davis, 1891"
"759"	"PRIONOTUS STEARNSI"	871	166994	"SHORTWING SEAROBIN"	"Jordan and Swain, 1884"
"760"	"EUCINOSTOMUS ARGENTEUS"	872	169015	"SPOTFIN MOJARRA"	"Baird and Girard in Baird, 1855"
"761"	"BOTHUS ROBINSI"	873	172762	"TWOSPOT FLOUNDER"	"Topp and Hoff, 1972"
"762"	"GEMPYLUS SERPENS"	874	172360	"SNAKE MACKEREL"	"Cuvier, 1829"
"763"	"HARENGULA JAGUANA"	875	161755	"SCALED SARDINE"	"Poey, 1865"
"764"	"CUBICEPS PAUCIRADIATUS"	876	172546	"BIGEYE CIGARFISH"	"Guenther, 1872"
"765"	"SERIOLA FASCIATA"	877	168690	"LESSER AMBERJACK"	"(Bloch, 1797)"
"766"	"HAEMULON STRIATUM"	878	169073	"STRIPED GRUNT"	"(Linnaeus, 1758)"
"767"	"ECHIOPHIS PUNCTIFER"	879	161553	"SNAPPER EEL"	"(Kaup, 1860)"
"768"	"SPHOEROIDES PACHYGASTER"	880	173298	"BLUNTHEAD PUFFER"	"(Mueller and Troschel, 1848)"
"769"	"GOBIESOX STRUMOSUS"	881	164460	"SKILLETFISH"	"Cope, 1870"
"770"	"CITHARICHTHYS GYMNORHINUS"	882	172723	"ANGLEFIN WHIFF"	"Gutherz and Blackman, 1970"
"771"	"OGCOCEPHALUS RADIATUS"	883	164579	"POLKA-DOT BATFISH"	"(Mitchill, 1818)"
"772"	"TRACHYSCORPIA CRISTULATA"	885	166859	"ATLANTIC THORNYHEAD"	"(Goode and Bean, 1896)"
"773"	"GONOSTOMATIDAE"	887	162163	"LIGHTFISH UNCL"	NA
"774"	"APOGON AUROLINEATUS"	888	168201	"BRIDLE CARDINALFISH"	"(Mowbray, 1927)"
"775"	"ANCHOA CUBANA"	889	161840	"CUBAN ANCHOVY"	"(Poey, 1868)"
"776"	"ARIOMMA MELANUM"	891	172538	"BROWN DRIFTFISH"	"(Ginsburg, 1954)"
"777"	"GLOSSANODON PYGMAEUS"	892	162074	"PYGMY ARGENTINE"	"Cohen, 1958"
"778"	"SALMO SALAR"	894	161996	"ATLANTIC SALMON"	"Linnaeus, 1758"
"779"	"RYPTICUS SUBBIFRENATUS"	895	167991	"SPOTTED SOAPFISH"	"(Gill, 1861)"
"780"	"PARALEPIDIDAE "	896	162463	"BARRACUDINAS"	NA
"781"	"LOPHIUS GASTROPHYSUS"	897	164500	"BLACKFIN GOOSEFISH"	"Ribeiro, 1915"
"782"	"URASPIS SECUNDA"	898	168746	"COTTONMOUTH JACK"	"(Poey, 1860)"
"783"	"CYTTOPSIS ROSEA"	899	166280	"RED DORY"	"(Goode and Bean, 1896)"
"784"	"LOPHIIFORMES"	900	164495	"LOPHIIFORM UNCL"	NA
"785"	"GASTEROSTEUS WHEATLANDI"	901	166385	"BLACKSPOTTED STICKLEBACK"	"Putnam, 1867"
"786"	"PUNGITIUS PUNGITIUS"	902	166387	"NINESPINE STICKLEBACK"	"(Linnaeus, 1758)"
"787"	"PLEOTICUS ROBUSTUS"	910	95966	"ROYAL RED SHRIMP"	"(Smith, 1885)"
