test.spp,region,exclude,contact_name,date,comment
Pseudarchaster dissonus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pseudostichopus sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pteraster militaris,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pycnopodia helianthoides,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Raja inornata,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Rhabdocalyptus sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Sebastes auriculatus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Sebastes carnatus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Sebastes emphaeus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Sebastes phillipsi,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Sebastes rosaceus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Sebastes rosenblatti,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Serrivomer sector,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Solaster sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Spatangus californicus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Stomias atriventer,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Stomphia coccinea,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Taonius pavo,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Tethya sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Thaliacea,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Thetys vagina,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Triakis semifasciata,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Trichodon trichodon,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Xeneretmus latifrons,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
