"","taxon","species","genus","family","order","class","superclass","subphylum","phylum","kingdom","name","common"
"43","ARGIS DENTATA","dentata","Argis","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Argis dentata","Artic argid"
"44","Argis sp.",NA,"Argis","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Argis spp.","argid shrimps"
"45","Argissp.",NA,"Argis","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Argis spp.","argid shrimps"
"46","ARIUS FELIS","felis","Ariopsis","Ariidae","Siluriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ariopsis felis","hardhead catfish"
"47","ARTEDIELLUS  SP",NA,"Artediellus","Cottidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Artediellus spp.","hookear sculpins"
"48","ARTEDIELLUS  SP.",NA,"Artediellus","Cottidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Artediellus spp.","hookear sculpins"
"49","Ascidiacea",NA,NA,NA,NA,NA,NA,"Tunicata","Chordata","Animalia","Tunicata spp.","tunicates"
"50","ASPIDOPHOROIDES MONOPTERYGIUS","monopterygius","Aspidophoroides","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Aspidophoroides monopterygius","alligatorfish"
"51","ASPIDOPHOROIDES OLRIKI","olrikii","Ulcina","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ulcina olrikii","Arctic alligatorfish"
"52","Aspidophoroides bartoni","bartoni","Aspidophoroides","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Aspidophoroides bartoni","Aleutian alligatorfish"
"53","Aspidophoroidesbartoni","bartoni","Aspidophoroides","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Aspidophoroides bartoni","Aleutian alligatorfish"
"54","Asterias amurensis","amurensis","Asterias","Asteriidae","Forcipulatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia","Asterias amurensis","North Pacific seastar"
"55","Asteriasamurensis","amurensis","Asterias","Asteriidae","Forcipulatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia","Asterias amurensis","North Pacific seastar"
"56","Asteroidea",NA,NA,NA,NA,NA,NA,"Asterozoa","Echinodermata","Animalia","Asterozoa spp.","sea stars"
"57","ASTEROIDEA",NA,NA,NA,NA,NA,NA,"Asterozoa","Echinodermata","Animalia","Asterozoa spp.","sea stars"
"58","Atheresthes stomias","stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes stomias","arrowtooth flounder"
"59","Atheresthessp",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes spp.","arrowtooth and Kamchatka flounders"
"60","Atheresthes sp.",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes spp.","arrowtooth and Kamchatka flounders"
"61","Atheresthessp.",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes spp.","arrowtooth and Kamchatka flounders"
"62","Atheresthesstomias","stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes stomias","arrowtooth flounder"
"63","AURELIA",NA,"Aurelia","Ulmaridae","Semaeostomeae","Scyphozoa",NA,NA,"Cnidaria","Animalia","Aurelia spp.","moon jellies"
"64","BALISTES CAPRISCUS","capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Balistes capriscus","gray triggerfish"
"65","Bathyagonusnigripinnis","nigripinnis","Bathyagonus","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bathyagonus nigripinnis","blackfin poacher"
"66","BATHYLAGUS EURYOPS","euryops","Bathylagus","Bathylagidae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bathylagus euryops","goiter blacksmelt"
"67","Bathymaster signatus","signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bathymaster signatus","searcher"
"68","Bathymastersignatus","signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bathymaster signatus","searcher"
"69","Bathyrajasp",NA,"Bathyraja","Rajidae","Rajiformes","Elasmobranchii","Pisces","Vertebrata","Chordata","Animalia","Bathyraja spp.","bathyrajid skates"
"70","Bathyrajasp.",NA,"Bathyraja","Rajidae","Rajiformes","Elasmobranchii","Pisces","Vertebrata","Chordata","Animalia","Bathyraja spp.","bathyrajid skates"
"71","Beringius beringii","behringi","Beringius","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Beringius behringi","true whelk"
"72","Beringiusberingii","behringi","Beringius","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Beringius behringi","true whelk"
"73","Beringius sp.",NA,"Beringius","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Beringius spp.","true whelks"
"74","Beringiussp.",NA,"Beringius","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Beringius spp.","true whelks"
"75","Berryteuthismagister","magister","Berryteuthis","Gonatidae","Oegopsida","Cephalopoda",NA,NA,"Mollusca","Animalia","Berryteuthis magister","magister armhook squid"
"76","Bivalvia",NA,NA,NA,NA,"Bivalvia",NA,NA,"Mollusca","Animalia","Bivalvia spp.","bivalves"
"77","BOLLMANNIA COMMUNIS","communis","Bollmannia","Gobiidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bollmannia communis","ragged goby"
"78","BOREOGADUS SAIDA","saida","Boreogadus","Gadidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Boreogadus saida","Arctic cod"
"79","Brachiopoda",NA,NA,NA,NA,NA,NA,NA,"Brachiopoda","Animalia","Brachiopoda spp.","bivalve coelomates"
"80","BREGMACEROS ATLANTICUS","atlanticus","Bregmaceros","Bregmacerotidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bregmaceros atlanticus","antenna codlet"
"81","BREVOORTIA PATRONUS","patronus","Brevoortia","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Brevoortia patronus","Gulf menhaden"
"82","Brosme brosme","brosme","Brosme","Lotidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Brosme brosme","cusk"
"83","BROSME BROSME","brosme","Brosme","Lotidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Brosme brosme","cusk"
"84","BROTULA BARBATUM","barbata","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Brotula barbata","bearded brotula"
"85","Bryozoa",NA,NA,NA,NA,NA,NA,NA,"Bryozoa","Animalia","Bryozoa spp.","bryozoan shrimp"
"86","BUCCINIDAE",NA,NA,"Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Buccinidae spp.","true whelks"
"87","Buccinum plectrum","plectrum","Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Buccinum plectrum","sinuous whelk"
"88","Buccinumplectrum","plectrum","Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Buccinum plectrum","sinuous whelk"
"89","Buccinum sp.",NA,"Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Buccinum spp.","true whelks"
"90","Buccinumsp.",NA,"Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Buccinum spp.","true whelks"
"91","CALAPPA SULCATA","sulcata","Calappa","Calappidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Calappa sulcata","yellow box crab"
"92","CALLINECTES SAPIDUS","sapidus","Callinectes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Callinectes sapidus","blue crab"
"93","CALLINECTES SIMILIS","similis","Callinectes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Callinectes similis","lesser blue crab"
"94","Cancer magister","magister","Metacarcinus","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Metacarcinus magister","dungeness crab"
"95","Cancermagister","magister","Metacarcinus","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Metacarcinus magister","dungeness crab"
"96","Cancer oregonensis","oregonensis","Glebocarcinus","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Glebocarcinus oregonensis","pygmy rock crab"
"97","Canceroregonensis","oregonensis","Glebocarcinus","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Glebocarcinus oregonensis","pygmy rock crab"
"98","CARANX CRYSOS","crysos","Caranx","Carangidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Caranx crysos","blue runner"
"99","Careproctusmelanurus","melanurus","Careproctus","Liparidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Careproctus melanurus","blacktail snailfish"
"100","Careproctussp.",NA,"Careproctus","Liparidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Careproctus spp.","snailfishes"
"101","CAULOLATILUS INTERMEDIUS","intermedius","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Caulolatilus intermedius","anchor tilefish"
"102","CENTROPRISTIS PHILADELPHICUS","philadelphica","Centropristis","Serranidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Centropristis philadelphica","rock sea bass"
"103","Centropristis striata","striata","Centropristis","Serranidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Centropristis striata","black sea bass"
"104","CENTROSCYLLIUM FABRICII","fabricii","Centroscyllium","Etmopteridae","Squaliformes","Elasmobranchii","Pisces","Vertebrata","Chordata","Animalia","Centroscyllium fabricii","black dogfish"
"105","CEPHALOPODA",NA,NA,NA,NA,NA,NA,NA,"Mollusca","Animalia","Cephalopoda spp.","octopuses"
"106","CHAETODIPTERUS FABER","faber","Chaetodipterus","Ephippidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Chaetodipterus faber","Atlantic spadefish"
"107","CHAULIODUS SLOANI","sloani","Chauliodus","Stomiidae","Stomiiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Chauliodus sloani","Sloane's viperfish"
"108","Chauliodusmacouni","macouni","Chauliodus","Stomiidae","Stomiiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Chauliodus macouni","Pacific viperfish"
"109","CHIASMODON NIGER","niger","Chiasmodon","Chiasmodontidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Chiasmodon niger","black swallower"
"110","Chilara taylori","taylori","Chilara","Ophidiidae","Ophidiiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Chilara taylori","spotted cusk-eel"
"111","CHIONOECETES OPILIO","opilio","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes opilio","snow crab"
"112","Chionoecetes bairdi","bairdi","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes bairdi","Tanner crab"
"113","Chionoecetesbairdi","bairdi","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes bairdi","Tanner crab"
"114","Chionoecetes hybrid",NA,"Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes spp.","snow crabs"
"115","Chionoeceteshybrid",NA,"Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes spp.","snow crabs"
"116","Chionoecetes opilio","opilio","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes opilio","snow crab"
"117","Chionoecetesopilio","opilio","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes opilio","snow crab"
"118","CHLAMYS ISLANDICA","islandica","Chlamys","Pectinidae","Pectinoida","Bivalvia",NA,NA,"Mollusca","Animalia","Chlamys islandica","Iceland scallop"
"119","Chlamyssp",NA,"Chlamys","Pectinidae","Pectinoida","Bivalvia",NA,NA,"Mollusca","Animalia","Chlamys spp.","scallops"
"120","Chlamyssp.",NA,"Chlamys","Pectinidae","Pectinoida","Bivalvia",NA,NA,"Mollusca","Animalia","Chlamys spp.","scallops"
"121","CHLOROSCOMBRUS CHRYSURUS","chrysurus","Chloroscombrus","Carangidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Chloroscombrus chrysurus","Atlantic bumper"
"122","CITHARICHTHYS MACROPS","macrops","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Citharichthys macrops","spotted whiff"
"123","Citharichthys sordidus","sordidus","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Citharichthys sordidus","Pacific sanddab"
"124","CITHARICHTHYS SPILOPTERUS","spilopterus","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Citharichthys spilopterus","bay whiff"
"125","Clinopegma magnum","magnum","Clinopegma","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Clinopegma magnum","helmet whelk"
"126","Clinopegmamagnum","magnum","Clinopegma","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Clinopegma magnum","helmet whelk"
"127","CLUPEA HARENGUS","harengus","Clupea","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Clupea harengus","Atlantic herring"
"128","Clupea harengus","harengus","Clupea","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Clupea harengus","Atlantic herring"
"129","Clupea pallasi","pallasii","Clupea","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Clupea pallasii","Pacific herring"
"130","Clupeapallasi","pallasii","Clupea","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Clupea pallasii","Pacific herring"
"131","Colus sp.",NA,"Colus","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Colus spp.","true whelks"
"132","Colussp.",NA,"Colus","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Colus spp.","true whelks"
"133","CORYPHAENOIDES RUPESTRIS","rupestris","Coryphaenoides","Macrouridae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Coryphaenoides rupestris","rock grenadier"
"134","COTTUNCULUS MICROPS","microps","Cottunculus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Cottunculus microps","polar sculpin"
"135","Crangon sp.",NA,"Crangon","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Crangon spp.","shrimps"
"136","Crangonsp.",NA,"Crangon","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Crangon spp.","shrimps"
"137","CRYPTACANTHODES MACULATUS","maculatus","Cryptacanthodes","Cryptacanthodidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Cryptacanthodes maculatus","wrymouth"
"138","Cryptacanthodesgiganteus","giganteus","Cryptacanthodes","Cryptacanthodidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Cryptacanthodes giganteus","giant wrymouth"
"139","Ctenodiscus crispatus","crispatus","Ctenodiscus","Ctenodiscidae","Paxillosida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia","Ctenodiscus crispatus","mud star"
"140","Ctenodiscuscrispatus","crispatus","Ctenodiscus","Ctenodiscidae","Paxillosida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia","Ctenodiscus crispatus","mud star"
"141","CYCLOPSETTA CHITTENDENI","chittendeni","Cyclopsetta","Paralichthyidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Cyclopsetta chittendeni","Mexican flounder"
"142","CYCLOPTERUS LUMPUS","lumpus","Cyclopterus","Cyclopteridae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Cyclopterus lumpus","lumpfish"
"143","CYNOSCION",NA,"Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Cynoscion spp.","weakfishes"
"144","Dasycottus setiger","setiger","Dasycottus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Dasycottus setiger","spinyhead sculpin"
"145","Dasycottussetiger","setiger","Dasycottus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Dasycottus setiger","spinyhead sculpin"
"146","Decapodiformes",NA,NA,NA,NA,"Cephalopoda",NA,NA,"Mollusca","Animalia","Decapodiformes spp.","squids"
"147","DIPLECTRUM BIVITTATUM","bivittatum","Diplectrum","Serranidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Diplectrum bivittatum","dwarf sand perch"
"148","DIPLECTRUM FORMOSUM","formosum","Diplectrum","Serranidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Diplectrum formosum","sand perch"
"149","Doryteuthis (Amerigo) pealeii","pealeii","Doryteuthis","Loliginidae","Myopsida","Cephalopoda",NA,NA,"Mollusca","Animalia","Doryteuthis pealeii","longfin inshore squid"
"150","ECHINOIDEA",NA,NA,NA,NA,"Echinoidea ",NA,"Echinozoa","Echinodermata","Animalia","Echinoidea spp.","heart urchins"
"151","ENCHELYOPUS CIMBRIUS","cimbrius","Enchelyopus","Lotidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Enchelyopus cimbrius","fourbeard rockling"
"152","Engraulis mordax","mordax","Engraulis","Engraulidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Engraulis mordax","northern anchovy"
"153","ENGYOPHRYS SENTA","senta","Engyophrys","Bothidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Engyophrys senta","spiny flounder"
"154","Eopsetta jordani","jordani","Eopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Eopsetta jordani","petrale sole"
"155","Eopsettajordani","jordani","Eopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Eopsetta jordani","petrale sole"
"156","EQUETUS UMBROSUS","umbrosus","Pareques","Sciaenidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Pareques umbrosus","cubbyu"
"157","Erimacrus isenbeckii","isenbeckii","Erimacrus","Cheiragonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Erimacrus isenbeckii","hair crab"
"158","Erimacrusisenbeckii","isenbeckii","Erimacrus","Cheiragonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Erimacrus isenbeckii","hair crab"
