"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"ASPIDOPHOROIDES MONOPTERYGIUS"	165	167439	"ALLIGATORFISH"	"(Bloch, 1786)"
"MYOXOCEPHALUS AENAEUS"	166	167321	"GRUBBY"	"(Mitchill, 1814)"
"LIPARIS INQUILINUS"	167	167577	"INQUILINE SNAILFISH"	"Able, 1973"
"CYCLOPTERUS LUMPUS"	168	167612	"LUMPFISH"	"Linnaeus, 1758"
"EUMICROTREMUS SPINOSUS"	169	167545	"ATLANTIC SPINY LUMPSUCKER"	"(Mueller, 1777)"
"LIPARIS ATLANTICUS"	170	167576	"ATLANTIC SEASNAIL"	"(Jordan and Evermann, 1898)"
"PRIONOTUS CAROLINUS"	171	166974	"NORTHERN SEAROBIN"	"(Linnaeus, 1771)"
"PRIONOTUS EVOLANS"	172	166975	"STRIPED SEAROBIN"	"(Linnaeus, 1766)"
"PERISTEDION MINIATUM"	173	167010	"ARMORED SEAROBIN"	"Goode, 1880"
"TRIGLIDAE"	174	166972	"SEAROBIN UNCL"	NA
"DACTYLOPTERUS VOLITANS"	175	167624	"FLYING GURNARD"	"(Linnaeus, 1758)"
"TAUTOGOLABRUS ADSPERSUS"	176	170481	"CUNNER"	"(Walbaum, 1792)"
"TAUTOGA ONITIS"	177	170479	"TAUTOG"	"(Linnaeus, 1758)"
"ASTROSCOPUS GUTTATUS"	179	171055	"NORTHERN STARGAZER"	"Abbott, 1861"
"PHOLIS GUNNELLUS"	180	171645	"ROCK GUNNEL"	"(Linnaeus, 1758)"
"AMMODYTES DUBIUS"	181	171674	"NORTHERN SAND LANCE"	"Reinhardt, 1837"
"LUMPENUS LUMPRETAEFORMIS"	182	171588	"SNAKEBLENNY"	"(Walbaum, 1792)"
"LUMPENUS MACULATUS"	183	171584	"DAUBED SHANNY"	"(Fries, 1837)"
"ULVARIA SUBBIFURCATA"	184	171616	"RADIATED SHANNY"	"(Storer, 1839)"
"OPSANUS TAU"	185	164423	"OYSTER TOADFISH"	"(Linnaeus, 1766)"
