"Key1","TAXONOMIC","CODE","TAXONSIZECODE","isactive","common_name","tsn","tsn_accepted",
597,"APTERYGOTA","667000000",,"-1","primitive wingless insects",99209,563886
598,"AQUATIC BIRDS","587000000",,"-1",,,
599,"AQUATIC EMBRYOPHYTES","997000000",,"-1",,,
600,"AQUATIC INVERTEBRATES","697000000",,"-1",,,
601,"AQUATIC MAMMALS","497000000",,"-1",,,
602,"ARACEAE","950020000",,"-1",,42521,42521
603,"ARACHNIDA","657000000",,"-1","arachnids",82708,82708
604,"ARACHNOIDEA","655000000",,"-1",,155532,155532
605,"ARACHNOPSIS","229210700",,"-1",,98564,98564
606,"ARACHNOPSIS FILIPES","229210701",,"-1",,98565,98565
607,"ARAEOSOMA","689010100",,"-1",,157852,157852
608,"ARAEOSOMA FENESTRATUM","689010101",,"-1",,157855,157855
609,"ARANEAE","661000000",,"-1","spiders",82732,82732
610,"ARANUCIDAE","319190000",,"-1",,78489,78489
611,"ARBACIA","693050100",,"-1",,157905,157905
612,"ARBACIA PUNCTULATA","693050101","14","-1","purple-spined sea urchin",157906,157906
613,"ARBACIIDAE","693050000",,"-1",,157904,157904
614,"ARCA","328040300",,"-1",,79367,79367
615,"ARCA IMBRICATA","328040302",,"-1","mossy ark",79370,79370
616,"ARCA ZEBRA","328040301",,"-1","turkey wing",79368,79368
617,"ARCHAEATYA","228040100",,"-1",,,
618,"ARCHAEOCARDIIDAE","335310000",,"-1",,,
619,"ARCHAEOGASTROPODA","306000000",,"-1",,69461,69461
620,"ARCHIANNELIDA","647000000",,"-1","bristle-footed annelids",68396,555669
621,"ARCHIDORIS","319051100",,"-1",,78212,78212
622,"ARCHITECTONICA KREBSI","307310101",,"-1",,,
623,"ARCHITECTONICA NOBILIS","307310102","24","-1","common sundial",71242,71242
624,"ARCHITECTONICA PERACUTA","307310103",,"-1",,71248,71248
625,"ARCHITECTONICIDAE","307310000",,"-1",,71240,71240
626,"ARCHITEUTHIDAE","348070000",,"-1",,82391,82391
627,"ARCHITEUTHIS","348070100",,"-1",,82392,82392
628,"ARCHITEUTHIS PHYSETERIS","348070101",,"-1",,82395,82395
629,"ARCHIVESICA","335600100",,"-1",,,
630,"ARCHOSARGUS","170213600",,"-1","sheepshead porgies",169188,169188
631,"ARCHOSARGUS PROBATOCEPHALUS","170213601","01","-1","sheepshead",169189,169189
632,"ARCHOSARGUS RHOMBOIDALIS","170213602",,"-1","sea bream",169190,169190
633,"ARCIDAE","328040000",,"-1",,79326,79326
634,"ARCINELLA","334020400",,"-1",,81668,81668
635,"ARCINELLA ARCINELLA","334020401",,"-1","spiny jewelbox",81671,81671
636,"ARCINELLA CORNUTA","334020402","11","-1","Florida spiny jewelbox",81670,81670
637,"ARCOIDA","328000000",,"-1",,79325,79325
638,"ARCOPAGIA","335440200",,"-1",,573582,573582
639,"ARCOPAGIA FAUSTA","335440201",,"-1",,81165,81163
640,"ARCOPSIS","328040500",,"-1",,79383,79383
