MISSION,SETNO,SPEC,TOTWGT,TOTNO
NED1986060,32,10,16,16
NED1988098,32,10,3,1
NED1990134,32,10,1,6
NED1992166,32,10,0,2
NED1993182,32,10,22,8
NED1994201,32,10,2,3
NED2001004,32,10,0.9,2
NED2005002,32,10,0.71,2
NED2009002,32,10,2.94,6
TEM2007686,32,10,0.8,2
NED1987078,33,10,1,6
NED1988098,33,10,2,9
NED1989117,33,10,34,5
NED1993182,33,10,8,4
NED1995217,33,10,0,1
NED1997255,33,10,0.47,2
NED1999872,33,10,19.05,16
NED2001004,33,10,4.45,1
NED2005002,33,10,0.76,2
NED2009002,33,10,0.494,1
NED1986060,34,10,9,14
NED1987078,34,10,2,6
NED1988098,34,10,90,50
NED1992166,34,10,0,1
NED1993182,34,10,5,2
NED1995217,34,10,0,1
NED1997255,34,10,26.5,43
NED1999872,34,10,0.45,1
NED2000966,34,10,5.47,4
NED2001004,34,10,0.3,1
NED2003003,34,10,13.7,32
NED2005002,34,10,0.655,1
TEL2006615,34,10,0.42,1
NED1986060,35,10,0,1
NED1987078,35,10,11,9
NED1988098,35,10,17,60
NED1989117,35,10,1,2
NED1990134,35,10,2,4
NED1993182,35,10,4,3
NED1994201,35,10,4,2
NED1995217,35,10,0,1
NED1999872,35,10,37.2,25
NED2000966,35,10,0.29,1
NED2001004,35,10,102.39,391
NED2005002,35,10,1.73,11
NED2009002,35,10,0.002,2
NED2010002,35,10,5.41,3
TEL2008805,35,10,0.35,1
NED1986060,36,10,0,2
NED1987078,36,10,12,7
NED1988098,36,10,1,7
NED1989117,36,10,13,40
NED1990134,36,10,1,3
NED1991149,36,10,2,1
NED1992166,36,10,0,2
NED1994201,36,10,3,4
NED1995217,36,10,0,1
NED1996238,36,10,0.11,2
NED1999872,36,10,5.11,6
NED2000966,36,10,50.07,36
NED2002003,36,10,0.305,1
NED2005002,36,10,150.66,355
NED2009002,36,10,0.551,11
TEL2008805,36,10,0.38,1
NED1986060,37,10,0,2
NED1987078,37,10,2,3
NED1988098,37,10,0,1
NED1989117,37,10,6,4
NED1990134,37,10,0,1
NED1994201,37,10,0,1
NED1995217,37,10,2,7
NED2002003,37,10,0.27,1
NED2009002,37,10,0.67,2
TEL2005546,37,10,0.8,2
NED1986060,38,10,3,1
NED1987078,38,10,1,3
NED1988098,38,10,50,36
NED1991149,38,10,0,1
NED1993182,38,10,33,24
NED1994201,38,10,3,13
NED1995217,38,10,5,11
NED1996238,38,10,0.3,1
NED1997255,38,10,1.97,2
NED2000966,38,10,26.52,69
NED2002003,38,10,0.31,1
NED2003003,38,10,0.31,2
NED2005002,38,10,3.7,10
TEL2006615,38,10,2.8,4
NED1986060,39,10,4,2
NED1987078,39,10,5,12
NED1988098,39,10,0,5
NED1993182,39,10,0,1
NED1994201,39,10,0,1
NED1995217,39,10,12,7
NED1996238,39,10,14.75,45
NED1997255,39,10,24,34
NED2002003,39,10,5.14,7
NED2003003,39,10,0.13,1
NED2009002,39,10,0.057,1
NED2010002,39,10,12.13,49
TEL2006615,39,10,5.15,3
TEL2008805,39,10,8.1,14
NED1986060,40,10,286,184
NED1988098,40,10,189,31
NED1989117,40,10,1,3
NED1990134,40,10,19,49
NED1996238,40,10,0.88,6
NED1997255,40,10,5.29,4
NED2000966,40,10,0.035,1
NED2005002,40,10,0.001,1
NED1986060,41,10,577,355
NED1988098,41,10,6,4
NED1991149,41,10,0,1
NED1996238,41,10,10,0
NED1997255,41,10,0.54,1
NED2002003,41,10,3.9,2
NED2005002,41,10,0.385,2
NED2009002,41,10,0.019,1
NED1986060,42,10,575,510
NED1992166,42,10,0,1
NED1996238,42,10,4.37,11
NED1997255,42,10,30.72,16
NED1999872,42,10,6.23,3
NED2001004,42,10,0.25,2
NED2002003,42,10,4.58,3
NED2005002,42,10,0.235,1
NED2009002,42,10,0.144,1
TEL2008805,42,10,0.1,1
NED1986060,43,10,18,15
NED1987078,43,10,3,2
NED1988098,43,10,1011,821
NED1990134,43,10,1,4
NED1991149,43,10,0,1
NED2001004,43,10,1,1
TEL2006615,43,10,0.115,1
NED1986060,44,10,16,4
NED1987078,44,10,87,52
NED1988098,44,10,9,8
NED1989117,44,10,7,3
NED1990134,44,10,1,9
NED1991149,44,10,0,1
NED1996238,44,10,0.01,2
NED1997255,44,10,8.53,32
NED1999872,44,10,0.81,1
NED2000966,44,10,10.01,6
NED2003003,44,10,0.33,2
NED2009002,44,10,0.094,3
NED2010002,44,10,0.74,1
TEL2006615,44,10,1.5,12
NED1986060,45,10,299,121
NED1987078,45,10,25,10
NED1988098,45,10,28,13
NED1990134,45,10,1,6
NED1992166,45,10,0,2
NED1994201,45,10,0,1
NED1996238,45,10,1.49,4
NED1997255,45,10,69.77,51
NED1999872,45,10,2.44,2
NED2000966,45,10,13.25,8
NED2002003,45,10,17.39,40
NED2009002,45,10,0.173,3
TEL2006615,45,10,2.4,7
NED1986060,46,10,496,239
NED1987078,46,10,27,17
NED1988098,46,10,6,29
NED1990134,46,10,0,1
NED1996238,46,10,0.13,1
NED1997255,46,10,274.5,435
NED1999872,46,10,17.53,10
NED2000966,46,10,0.73,2
NED2001004,46,10,0.95,1
NED2003003,46,10,0.08,1
NED2005002,46,10,0.67,2
NED2009002,46,10,0.148,2
TEM2007686,46,10,1.2,3
NED1987078,47,10,51,35
NED1988098,47,10,7,33
NED1991149,47,10,1,1
NED1996238,47,10,47.49,186
NED1997255,47,10,294.58,174
NED1999872,47,10,17.73,26
NED2000966,47,10,23.54,85
NED2001004,47,10,5.65,2
NED2005002,47,10,0.005,9
NED2006002,47,10,0.106,2
NED2009002,47,10,0.759,4
TEM2007686,47,10,3.4,6
NED1986060,48,10,0,2
NED1987078,48,10,17,40
NED1988098,48,10,0,4
NED1990134,48,10,0,1
NED1996238,48,10,2035,3715
NED1997255,48,10,8.14,6
NED2000966,48,10,23.36,16
NED2002003,48,10,3.04,2
NED2005002,48,10,0.018,1
NED2006002,48,10,5.84,6
NED2009002,48,10,0.42,1
NED2010002,48,10,5.3,3
NED1986060,49,10,0,1
NED1987078,49,10,6,4
NED1990134,49,10,0,1
NED1991149,49,10,0,1
NED1996238,49,10,1.65,3
NED2001004,49,10,13.81,12
NED2002003,49,10,13.86,3
NED2003003,49,10,0.715,1
NED2005002,49,10,0.035,2
NED2006002,49,10,1.08,8
NED2010002,49,10,1.245,1
TEL2008805,49,10,0.003,7
NED1986060,50,10,1,2
NED1987078,50,10,0,1
NED1988098,50,10,0,2
NED1989117,50,10,0,1
NED1990134,50,10,0,2
NED1991149,50,10,0,1
NED1995217,50,10,5,1
NED1997255,50,10,0.85,1
TEL2008805,50,10,0.65,2
NED1986060,51,10,31,49
NED1987078,51,10,6,13
NED1988098,51,10,2,7
NED1991149,51,10,17,65
NED1992166,51,10,4,4
NED1994201,51,10,0,1
NED1995217,51,10,7,5
NED1996238,51,10,1.55,4
NED2001004,51,10,1.56,1
NED2005002,51,10,0.235,4
TEL2008805,51,10,0.001,7
NED1987078,52,10,1,5
NED1991149,52,10,1,6
NED1992166,52,10,3,4
NED1994201,52,10,12,20
NED1996238,52,10,0.51,3
NED1997255,52,10,2.52,1
NED2001004,52,10,0.48,1
NED2002003,52,10,0.59,1
NED2005002,52,10,0.24,4
TEL2008805,52,10,0.001,1
TEM2007686,52,10,0.038,1
NED1987078,53,10,17,14
NED1990134,53,10,1,3
NED1991149,53,10,70,175
NED1992166,53,10,0,1
NED1995217,53,10,10,5
NED1999872,53,10,3.88,5
NED2001004,53,10,0.3,1
NED2002003,53,10,0.72,3
TEM2007686,53,10,0.27,3
NED1987078,54,10,1,6
NED1991149,54,10,202,225
NED1993182,54,10,1,1
NED1995217,54,10,6,2
NED1999872,54,10,1.56,2
NED2003003,54,10,0.035,2
NED2005002,54,10,8.09,10
NED2010002,54,10,9.8,9
TEL2008805,54,10,0.001,1
NED1986060,55,10,1,1
NED1987078,55,10,6,9
NED1991149,55,10,41,38
NED1993182,55,10,0,1
NED1994201,55,10,1,3
NED1997255,55,10,2.09,1
NED2005002,55,10,0.185,1
NED2010002,55,10,9.99,11
TEL2008805,55,10,0.4,3
TEM2007686,55,10,0.47,4
NED1987078,56,10,0,1
NED1989117,56,10,3,27
NED1991149,56,10,4,15
NED1993182,56,10,8,8
NED1994201,56,10,1,5
NED1997255,56,10,13.51,8
NED1999872,56,10,0.96,1
NED2000966,56,10,0.7,2
NED2001004,56,10,0.21,1
NED2002003,56,10,10.15,5
NED2006002,56,10,0.77,1
NED2010002,56,10,0.015,1
TEL2008805,56,10,0.038,1
TEM2007686,56,10,5.55,8
NED1987078,57,10,9,3
NED1989117,57,10,203,447
NED1990134,57,10,37,45
NED1991149,57,10,2,2
NED1992166,57,10,0,1
NED1993182,57,10,0,1
NED1994201,57,10,4,8
NED1995217,57,10,10,20
NED1997255,57,10,61.4,50
NED1999872,57,10,0.56,1
NED2000966,57,10,3.19,6
NED2010002,57,10,1.29,1
TEL2008805,57,10,0.166,5
NED1987078,58,10,0,2
NED1989117,58,10,2,4
NED1990134,58,10,42,64
NED1992166,58,10,0,1
NED1994201,58,10,5,12
NED1995217,58,10,4,2
NED1997255,58,10,9.45,7
NED2000966,58,10,1.85,1
NED2005002,58,10,0.12,3
NED2010002,58,10,1.41,7
NED1990134,59,10,4,4
NED1992166,59,10,0,1
NED1993182,59,10,103,577
NED1994201,59,10,37,73
NED2003003,59,10,0.49,2
NED2010002,59,10,1.81,4
TEL2008805,59,10,0.16,3
TEM2007686,59,10,1.5,14
NED1987078,60,10,2,1
NED1988098,60,10,3,4
NED1989117,60,10,1,3
NED1990134,60,10,0,1
NED1993182,60,10,1,1
NED1994201,60,10,104,207
NED1997255,60,10,1.43,1
NED2006002,60,10,14.9,37
TEL2008805,60,10,12.55,44
TEM2007686,60,10,0.8,4
NED1986060,61,10,0,2
NED1987078,61,10,4,4
NED1988098,61,10,7,3
NED1990134,61,10,2,4
NED1991149,61,10,0,2
NED1993182,61,10,2,6
NED1994201,61,10,7,20
NED1997255,61,10,1.84,15
NED2000966,61,10,0.29,2
NED2010002,61,10,1.24,5
TEM2007686,61,10,1,4
NED1987078,62,10,3,7
NED1989117,62,10,1,1
NED1991149,62,10,0,1
NED1992166,62,10,0,2
NED1993182,62,10,4,20
NED1994201,62,10,2,3
NED2000966,62,10,0.01,2
NED2002003,62,10,0.005,1
NED2003003,62,10,0.28,1
TEL2008805,62,10,185.3,497
NED1987078,63,10,2,2
NED1988098,63,10,72,102
NED1992166,63,10,1,2
NED1993182,63,10,9,9
NED1997255,63,10,176.18,227
NED2002003,63,10,0.015,1
NED2005002,63,10,0.34,3
TEL2008805,63,10,44.3,123
TEM2007686,63,10,1.3,4
NED1986060,64,10,68,55
NED1987078,64,10,2,4
NED1988098,64,10,1,3
NED1990134,64,10,4,1
NED1992166,64,10,2,4
NED1993182,64,10,8,1
NED1995217,64,10,1,9
NED1997255,64,10,0.25,1
TEL2008805,64,10,0.782,2
NED1986060,65,10,0,4
NED1987078,65,10,7,1
NED1988098,65,10,2,1
NED1989117,65,10,2,4
NED1990134,65,10,23,13
NED1991149,65,10,2,3
NED1993182,65,10,0,2
NED1994201,65,10,1,2
NED1995217,65,10,0,1
NED1999872,65,10,0.11,2
NED2005002,65,10,1.18,3
TEM2007686,65,10,0.001,2
NED1986060,66,10,36,62
NED1991149,66,10,9,16
NED1995217,66,10,0,1
NED1997255,66,10,0.18,1
NED2003003,66,10,0.005,1
NED2006002,66,10,0.3,3
TEL2008805,66,10,0.496,2
NED1986060,67,10,189,264
NED1989117,67,10,1,4
NED1991149,67,10,1,2
NED1993182,67,10,6,12
NED1995217,67,10,0,3
NED2001004,67,10,0.09,1
NED2002003,67,10,0.025,1
NED2005002,67,10,1.88,2
TEL2008805,67,10,2.25,2
NED1986060,68,10,6,13
NED1988098,68,10,449,1763
NED1990134,68,10,15,8
NED1991149,68,10,3347,8330
NED1992166,68,10,1,3
NED1993182,68,10,1,3
NED1995217,68,10,2,11
NED2002003,68,10,0.38,2
NED2006002,68,10,0.73,3
NED2010002,68,10,0.05,2
NED1986060,69,10,5,11
NED1988098,69,10,24,16
NED1989117,69,10,0,1
NED1992166,69,10,0,5
NED1993182,69,10,344,788
NED1995217,69,10,0,1
NED2000966,69,10,2.88,3
NED2002003,69,10,0.1,1
NED2006002,69,10,0.98,2
NED2010002,69,10,0.13,1
NED1986060,70,10,4,3
NED1987078,70,10,21,14
NED1989117,70,10,0,1
NED1993182,70,10,242,657
NED2002003,70,10,0.175,1
NED2005002,70,10,1.67,11
TEM2007686,70,10,4.25,13
NED1987078,71,10,1041,1128
NED1989117,71,10,0,2
NED1990134,71,10,27,27
NED1993182,71,10,1,3
NED1994201,71,10,0,1
NED1999872,71,10,0.16,2
NED2001004,71,10,0.52,1
NED2002003,71,10,0.02,1
NED2010002,71,10,14.82,5
NED1987078,72,10,77,100
NED1989117,72,10,581,1020
NED1990134,72,10,12,5
NED1992166,72,10,1,3
NED1993182,72,10,13,23
NED1999872,72,10,1.52,1
NED2002003,72,10,3.02,17
TEM2007686,72,10,1.8,9
NED1987078,73,10,0,1
NED1989117,73,10,127,129
NED1990134,73,10,1,6
NED1991149,73,10,0,2
NED1992166,73,10,2,3
NED1993182,73,10,11,54
NED2001004,73,10,0.42,1
TEM2007686,73,10,0.39,1
NED1986060,74,10,2,2
NED1989117,74,10,19,21
NED1990134,74,10,152,33
NED1991149,74,10,3,21
NED1992166,74,10,1,3
NED1993182,74,10,64,173
NED1999872,74,10,1.3,2
NED2000966,74,10,0.57,5
NED2003003,74,10,36.48,55
TEM2007686,74,10,0.85,3
NED1987078,75,10,969,923
NED1989117,75,10,284,456
NED1990134,75,10,0,2
NED1991149,75,10,0,1
NED1992166,75,10,2,2
NED1993182,75,10,6,8
NED1999872,75,10,2.23,5
NED2000966,75,10,0.004,1
NED2001004,75,10,0.065,1
NED2003003,75,10,1.09,5
NED2006002,75,10,0.63,2
NED2010002,75,10,4.86,5
TEM2007686,75,10,0.354,2
NED1987078,76,10,10,5
NED1989117,76,10,77,16
NED1990134,76,10,0,2
NED1993182,76,10,0,1
NED1997255,76,10,0.15,1
NED1999872,76,10,194.72,397
NED2000966,76,10,0.002,2
NED2001004,76,10,0.95,1
NED2002003,76,10,0.39,2
NED2010002,76,10,1.07,6
TEM2007686,76,10,0.002,6
NED1987078,77,10,24,9
NED1989117,77,10,24,14
NED1990134,77,10,1,4
NED1991149,77,10,13,33
NED1992166,77,10,2,6
NED1994201,77,10,1,3
NED1995217,77,10,0,1
NED2002003,77,10,1.44,8
NED2010002,77,10,2.8,11
TEM2007686,77,10,0.585,2
NED1986060,78,10,0,1
NED1987078,78,10,113,64
NED1989117,78,10,19,7
NED1990134,78,10,1,1
NED1992166,78,10,5,5
NED2000966,78,10,1.76,3
NED2002003,78,10,12.51,36
NED2010002,78,10,15.6,31
TEM2007686,78,10,1.515,1
NED1987078,79,10,25,18
NED1989117,79,10,33,12
NED1990134,79,10,0,1
NED1991149,79,10,0,3
NED1994201,79,10,1,2
NED1997255,79,10,0.09,1
NED1999872,79,10,0.82,2
NED2000966,79,10,1.24,31
NED2002003,79,10,0.59,3
NED2010002,79,10,4.82,7
TEM2007686,79,10,0.595,1
NED1986060,80,10,1,1
NED1987078,80,10,19,24
NED1989117,80,10,26,7
NED1991149,80,10,3,1
NED1994201,80,10,22,48
NED1995217,80,10,0,1
NED1997255,80,10,1.23,2
NED2010002,80,10,2.34,8
TEM2007686,80,10,0.478,1
NED1987078,81,10,42,50
NED1989117,81,10,1,1
NED1990134,81,10,1080,1630
NED1994201,81,10,5,11
NED2002003,81,10,0.81,2
NED2003003,81,10,0.09,1
NED2010002,81,10,14.68,55
NED1987078,82,10,6,17
NED1989117,82,10,6,5
NED1990134,82,10,9,14
NED1991149,82,10,2,7
NED1994201,82,10,0,1
NED2000966,82,10,0.52,2
NED2002003,82,10,1.4,5
NED2003003,82,10,0.105,1
NED2010002,82,10,3.74,17
NED1987078,83,10,0,1
NED2001004,83,10,2.96,6
NED2010002,83,10,153.97,253
NED1994201,84,10,6,8
NED1995217,84,10,2,9
NED2002003,84,10,0.84,1
NED2003003,84,10,0.23,2
NED2010002,84,10,2.04,4
TEM2007686,84,10,0.556,1
NED1987078,85,10,2,2
NED1991149,85,10,2,2
NED1995217,85,10,0,6
NED2000966,85,10,0.001,1
NED2001004,85,10,1.32,7
NED2003003,85,10,0.38,3
NED2010002,85,10,0.894,1
NED1987078,86,10,7,8
NED1995217,86,10,2,3
NED1997255,86,10,5.97,20
NED2010002,86,10,2.79,8
NED1987078,87,10,5,8
NED1991149,87,10,0,2
NED1995217,87,10,0,3
NED1997255,87,10,2165.53,4516
NED1999872,87,10,0.99,2
NED2002003,87,10,1.47,1
NED2003003,87,10,0.085,1
TEL2006615,87,10,0.55,2
TEM2007686,87,10,0.85,2
NED1987078,88,10,0,3
NED1991149,88,10,3,2
NED1995217,88,10,0,1
NED2010002,88,10,3.29,6
TEL2006615,88,10,0.6,2
NED1987078,89,10,20,23
NED1994201,89,10,6,9
NED1995217,89,10,0,1
NED1997255,89,10,3.04,18
NED2000966,89,10,0.08,1
NED2001004,89,10,0.37,4
NED2002003,89,10,0.01,1
NED2003003,89,10,0.085,1
NED2010002,89,10,0.005,6
TEL2006615,89,10,0.065,1
TEM2007686,89,10,2.2,2
NED1987078,90,10,13,17
NED1994201,90,10,1,2
