SPECIES_CODE,SPECIES_NAME,COMMON_NAME,REVISION,BS,GOA,WC,AUDITJOIN
65000,Cirripedia,,,Y,Y,,559
65100,Thoracica,barnacle unident.,,Y,Y,Y,560
65101,Lepas sp.,,,Y,Y,,561
65201,Balanus sp.,,,Y,Y,Y,562
65202,Balanus balanus,,,Y,,,563
65203,Balanus evermanni,giant barnacle,A88,Y,Y,,564
65204,Balanus hesperius,crab barnacle,,Y,Y,,565
65205,Balanus rostratus,beaked barnacle,,Y,Y,,566
66000,,shrimp unident.,,Y,Y,Y,567
66003,Sergestidae,sergestid shrimp unident.,A88,Y,Y,Y,568
66004,Sergestes sp.,,,Y,Y,Y,569
66019,Pandalidae,pandalid shrimp unident.,,Y,Y,Y,570
66020,Pandalus sp.,,,Y,Y,Y,571
66025,Pandalus danae,dock shrimp,,Y,Y,Y,572
66030,Pandalus jordani,ocean shrimp,,Y,Y,Y,573
66031,Pandalus eous (=borealis),Alaskan pink (=northern) shrimp,,Y,Y,Y,574
66033,Pandalus tridens,yellowleg pandalid,,Y,Y,,575
66040,Pandalus platyceros,spot shrimp,,Y,Y,Y,576
66045,Pandalus goniurus,humpy shrimp,,Y,Y,Y,577
66050,Pandalus hypsinotus,coonstripe shrimp,,Y,Y,Y,578
66060,Pandalopsis aleutica,,,Y,Y,,579
66120,Pandalopsis dispar,sidestripe shrimp,,Y,Y,Y,580
66130,Pandalopsis ampla,,,,Y,,581
66150,Hippolytidae,hippolytid shrimp unident.,A88,Y,Y,,582
66160,Spirontocaris sp.,,,Y,Y,Y,583
43042,Urticina crassicornis,mottled anemone,,Y,,,584
43082,Cribrinopsis fernaldi,chevron-tentacled anemone,A91,Y,,,585
44010,Javania borealis,,A95,,Y,,586
44031,Stylaster verrilli,,A95,,Y,,587
44080,Errinopora zarhyncha,,A95,,Y,,588
45000,Ctenophora,comb jelly unident.,A88,Y,Y,Y,589
50000,Polychaeta,polychaete worm unident.,A88,Y,Y,Y,590
50010,,tube worm unident.,,Y,Y,Y,591
50100,Oweniidae,,,Y,,,592
50160,Aphroditidae,sea mouse unident.,,Y,Y,Y,593
50190,Aphrodita japonica,,,Y,,,594
50192,Aphrodita negligens,,,Y,,,595
52715,Glycera sp.,,,Y,,,596
53700,Nephtyidae,cat worm unident.,A86,Y,,,597
54010,Nereis sp.,,,Y,Y,Y,598
54030,Cheilonereis cyclurus,,,Y,Y,,599
56300,Polynoidae,scale worm unident.,,Y,Y,,600
56310,Eunoe sp.,,,Y,,,601
56311,Eunoe nodosa,giant scale worm,,Y,,,602
56312,Eunoe depressa,depressed scale worm,,Y,,,603
57000,Sabellidae,sabellid unident.,A88,Y,,,604
57410,Serpula vermicularis,,A88,Y,,,605
59000,,bristle worm unident.,,Y,Y,,606
59100,Hirudinea,leech unident.,,Y,Y,,607
59110,Carcinobdella sp.,,,Y,,,608
59111,Notostomum cyclostomum,striped sea leech,,Y,Y,,609
