SCINAME,COMNAME,SVSPP
DIPLODUS ARGENTEUS,SILVER PORGY,638
DIPLODUS HOLBROOKI,SPOTTAIL PINFISH,639
DIPTURUS LAEVIS,BARNDOOR SKATE,022
DIPTURUS OLSENI,SPREADFIN SKATE,370
DORMITATOR MACULATUS,FAT SLEEPER,736
DOROSOMA CEPEDIANUM,GIZZARD SHAD,426
ECHENEIS NAUCRATES,SHARKSUCKER,564
ECHINOIDEA,SEA URCHIN AND SAND DOLLAR UNCL,331
ECHIOPHIS INTERTINCTUS,SPOTTED SPOON-NOSE EEL,394
ECHIOPHIS PUNCTIFER,SNAPPER EEL,879
ECHIOPHIS SP,SPOON-NOSE EEL UNCL,399
ELAGATIS BIPINNULATA,RAINBOW RUNNER,574
ELOPS SAURUS,LADYFISH,381
ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING,083
ENGRAULIDAE,ANCHOVY UNCL,851
ENGRAULIS EURYSTOLE,SILVER ANCHOVY,865
ENGYOPHRYS SENTA,SPINY FLOUNDER,784
EPIGONUS PANDIONIS,,144
EPINEPHELUS ADSCENSIONIS,ROCK HIND,531
EPINEPHELUS AFER,MUTTON HAMLET,498
EPINEPHELUS DRUMMONDHAYI,SPECKLED HIND,532
EPINEPHELUS FLAVOLIMBATUS,YELLOWEDGE GROUPER,533
EPINEPHELUS GUTTATUS,RED HIND,534
EPINEPHELUS INERMIS,MARBLED GROUPER,528
EPINEPHELUS MORIO,RED GROUPER,535
EPINEPHELUS MYSTACINUS,MISTY GROUPER,863
EPINEPHELUS NIGRITUS,WARSAW GROUPER,536
EPINEPHELUS NIVEATUS,SNOWY GROUPER,537
EPINEPHELUS STRIATUS,NASSAU GROUPER,538
EQUETUS ACUMINATUS,HIGH-HAT,647
EQUETUS LANCEOLATUS,JACKKNIFE-FISH,648
EQUETUS PUNCTATUS,SPOTTED DRUM,649
EQUETUS UMBROSUS,CUBBYU,650
ERETMOCHELYS IMBRICATA,HAWKSBILL SEATURTLE,953
ETMOPTERUS GRACILISPINIS,BROADBAND DOGFISH,601
ETMOPTERUS HILLIANUS,CARIBBEAN LANTERNSHARK,602
ETMOPTERUS PRINCEPS,ROUGH SAGRE,008
ETROPUS CROSSOTUS,FRINGED FLOUNDER,785
ETROPUS MICROSTOMUS,SMALLMOUTH FLOUNDER,117
ETROPUS RIMOSUS,GRAY FLOUNDER,786
ETROPUS SP,ETROPUS UNCL,794
ETRUMEUS TERES,ROUND HERRING,031
EUALUS FABRICII,ARCTIC EUALID,291
EUCINOSTOMUS ARGENTEUS,SPOTFIN MOJARRA,872
EUCINOSTOMUS GULA,SILVER JENNY,599
EULEPTORHAMPHUS VELOX,FLYING HALFBEAK,466
EUMECICHTHYS FISKI,UNICORNFISH,487
EUMICROTREMUS SPINOSUS,ATLANTIC SPINY LUMPSUCKER,169
EUSPIRA HEROS,NORTHERN MOONSNAIL,348
EUTHYNNUS ALLETTERATUS,LITTLE TUNNY,743
EXOCOETUS OBTUSIROSTRIS,OCEANIC TWO-WING FLYINGFISH,467
FISTULARIA PETIMBA,RED CORNETFISH,489
FISTULARIA SP,CORNETFISH UNCL,490
FISTULARIA TABACARIA,BLUESPOTTED CORNETFISH,120
FOETOREPUS AGASSIZI,SPOTFIN DRAGONET,735
FUNDULUS HETEROCLITUS,MUMMICHOG,473
FUNDULUS MAJALIS,STRIPED KILLIFISH,474
GADELLA IMBERBIS,BEARDLESS CODLING,070
GADIDAE,HAKE UNCL,080
GADUS MORHUA,ATLANTIC COD,073
GAIDROPSARUS ENSIS,THREEBEARD ROCKLING,085
GALATHEIDAE,GALATHEID UNCL,319
GALEOCERDO CUVIER,TIGER SHARK,358
GASTEROSTEUS ACULEATUS,THREESPINE STICKLEBACK,115
GASTEROSTEUS WHEATLANDI,BLACKSPOTTED STICKLEBACK,901
GASTROPSETTA FRONTALIS,SHRIMP FLOUNDER,787
GEMPYLUS SERPENS,SNAKE MACKEREL,874
GEPHYROBERYX DARWINI,BIG ROUGHY,268
GERREIDAE,MOJARRA UNCL,625
GERYON AFFINIS,WHITE CRAB,309
GERYON FENNERI,GOLDEN DEEPSEA CRAB,308
GERYON QUINQUEDENS,RED DEEPSEA CRAB,310
GINGLYMOSTOMA CIRRATUM,NURSE SHARK,350
GLOBICEPHALA SP,PILOT WHALE UNCLASSIFIED,973
GLOSSANODON PYGMAEUS,PYGMY ARGENTINE,892
GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,107
GOBIESOX STRUMOSUS,SKILLETFISH,881
GOBIIDAE,GOBY UNCL,739
GOBIOSOMA BOSC,NAKED GOBY,738
GONICHTHYS COCCOI,,059
GONOSTOMA ATLANTICUM,,234
GONOSTOMA BATHYPHILUM,,233
GONOSTOMA ELONGATUM,LONGTOOTH ANGLEMOUTH,235
GONOSTOMATIDAE,LIGHTFISH UNCL,887
GRAMMATIDAE,BASSLET UNCL,618
GYMNACHIRUS MELAS,NAKED SOLE,796
GYMNOTHORAX MORINGA,SPOTTED MORAY,386
GYMNOTHORAX NIGROMARGINATUS,BLACKEDGE MORAY,387
GYMNOTHORAX SAXICOLA,HONEYCOMB MORAY,870
GYMNURA ALTAVELA,SPINY BUTTERFLY RAY,375
GYMNURA MICRURA,SMOOTH BUTTERFLY RAY,376
HAEMULIDAE,GRUNT UNCL,630
HAEMULON AUROLINEATUM,TOMTATE,627
HAEMULON CARBONARIUM,CAESAR GRUNT,628
HAEMULON PLUMIERI,WHITE GRUNT,629
HAEMULON STRIATUM,STRIPED GRUNT,878
HALICHOERES BATHYPHILUS,GREENBAND WRASSE,676
HALICHOERES BIVITTATUS,SLIPPERY DICK,677
HALICHOERES CAUDALIS,PAINTED WRASSE,678
HALICHOERES POEYI,BLACKEAR WRASSE,679
HALICHOERES RADIATUS,PUDDINGWIFE,680
HALICHOERUS GRYPUS,GRAY SEAL,970
HALIEUTICHTHYS ACULEATUS,PANCAKE BATFISH,449
HARENGULA JAGUANA,SCALED SARDINE,875
HELICOLENUS DACTYLOPTERUS,BLACKBELLY ROSEFISH,156
HELICOLENUS MADERENSIS,,157
HEMANTHIAS AUREORUBENS,STREAMER BASS,546
HEMANTHIAS VIVANUS,RED BARBIER,539
HEMICARANX AMBLYRHYNCHUS,BLUNTNOSE JACK,575
HEMIPTERONOTUS NOVACULA,PEARLY RAZORFISH,681
HEMIRAMPHUS BRASILIENSIS,BALLYHOO,468
HEMITRIPTERUS AMERICANUS,SEA RAVEN,164
HEPATUS EPHELITICUS,CALICO BOX CRAB,327
HIPPOCAMPUS ERECTUS,LINED SEAHORSE,492
HIPPOCAMPUS REIDI,LONGSNOUT SEAHORSE,493
HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE,102
HIPPOGLOSSUS HIPPOGLOSSUS,ATLANTIC HALIBUT,101
HIRUNDICHTHYS AFFINIS,FOURWING FLYINGFISH,469
HISTRIO HISTRIO,SARGASSUMFISH,448
HOLACANTHUS BERMUDENSIS,BLUE ANGELFISH,665
HOLACANTHUS CILIARIS,QUEEN ANGELFISH,666
HOLACANTHUS TRICOLOR,ROCK BEAUTY,667
HOLANTHIAS MARTINICENSIS,ROUGHTONGUE BASS,544
HOLOCENTRIDAE,SQUIRRELFISH UNCL,485
HOLOCENTRUS ADSCENSIONIS,SQUIRRELFISH,478
HOLOCENTRUS RUFUS,LONGSPINE SQUIRRELFISH,480
HOMARUS AMERICANUS,AMERICAN LOBSTER,301
HOPLOSTETHUS MEDITERRANEUS,BLACKMOUTHED ALFONSIN,261
HOPLOSTETHUS OCCIDENTALIS,,266
HOWELLA SHERBORNI,SHERBORN'S CARDINALFISH,150
HYGOPHUM TAANINGI,,057
HYPEROGLYPHE PERCIFORMIS,BARRELFISH,207
HYPLEUROCHILUS GEMINATUS,CRESTED BLENNY,730
HYPORHAMPHUS UNIFASCIATUS,SILVERSTRIPE HALFBEAK,066
HYPSOBLENNIUS HENTZ,FEATHER BLENNY,731
HYPSOBLENNIUS IONTHAS,FRECKLED BLENNY,732
ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID,502
ILLEX ILLECEBROSUS EGG MOPS,NORTHERN SHORTFIN SQUID EGG MOPS,519
ISTIOPHORUS PLATYPTERUS,SAILFISH,939
ISURUS OXYRINCHUS,SHORTFIN MAKO,352
