"","SCINAME","SVSPP","ITISSPP","COMNAME","AUTHOR"
NA,ZENOPSIS CONCHIFERA,112,166284,BUCKLER DORY,(Lowe, 1852)
NA,MENIDIA MENIDIA,113,165994,ATLANTIC SILVERSIDE,(Linnaeus, 1766)
NA,SYNAGROPS BELLUS,114,168335,BLACKMOUTH BASS,Goode and Bean, 1896)
NA,GASTEROSTEUS ACULEATUS,115,166365,THREESPINE STICKLEBACK,Linnaeus, 1758
NA,SYNGNATHUS FUSCUS,116,166451,NORTHERN PIPEFISH,Storer, 1839
NA,ETROPUS MICROSTOMUS,117,172730,SMALLMOUTH FLOUNDER,(Gill, 1864)
NA,TRINECTES MACULATUS,118,172982,HOGCHOKER,(Bloch and Schneider, 1801)
NA,AULOSTOMUS MACULATUS,119,166411,TRUMPETFISH,Valenciennes, 1845
NA,FISTULARIA TABACARIA,120,166416,BLUESPOTTED CORNETFISH,Linnaeus, 1758
NA,SCOMBER SCOMBRUS,121,172414,ATLANTIC MACKEREL,Linnaeus, 1758
NA,SARDA SARDA,123,172409,ATLANTIC BONITO,(Bloch, 1793)
NA,SCOMBER JAPONICUS,124,172412,CHUB MACKEREL,Houttuyn, 1782
NA,ACANTHOCYBIUM SOLANDRI,125,172451,WAHOO,(Cuvier, 1831)
NA,TRICHIURUS LEPTURUS,126,172385,ATLANTIC CUTLASSFISH,Linnaeus, 1758
NA,PROMETHICHTHYS PROMETHEUS,127,172374,CONEJO,(Cuvier, 1832)
NA,KATSUWONUS PELAMIS,128,172401,SKIPJACK TUNA,(Linnaeus, 1758)
NA,CARANX CRYSOS,129,168612,BLUE RUNNER,(Mitchill, 1815)
NA,TARACTICHTHYS LONGIPINNIS ,130,170311,BIGSCALE POMFRET,NA
NA,PEPRILUS TRIACANTHUS,131,172567,BUTTERFISH,(Peck, 1804)
NA,SELENE SETAPINNIS,132,168684,ATLANTIC MOONFISH,(Mitchill, 1815)
NA,SELENE VOMER,133,168680,LOOKDOWN,(Linnaeus, 1758)
NA,PRIACANTHUS ARENATUS,134,168178,BIGEYE,Cuvier, 1829
NA,POMATOMUS SALTATRIX,135,168559,BLUEFISH,(Linnaeus, 1766)
NA,MICROPOGONIAS UNDULATUS,136,169283,ATLANTIC CROAKER,(Linnaeus, 1766)
NA,SYNAGROPS SPINOSUS,137,168337,KEELCHEEK BASS,Schultz, 1940
NA,APOGONIDAE,138,168196,CARDINALFISH UNCL,NA
NA,MORONE SAXATILIS,139,167680,STRIPED BASS,(Walbaum in Artedi, 1792)
NA,MORONE AMERICANA,140,167678,WHITE PERCH,(Gmelin in Linnaeus, 1789)
NA,CENTROPRISTIS STRIATA,141,167687,BLACK SEA BASS,(Linnaeus, 1758)
NA,ORTHOPRISTIS CHRYSOPTERA,142,169077,PIGFISH,(Linnaeus, 1766)
NA,STENOTOMUS CHRYSOPS,143,169182,SCUP,(Linnaeus, 1766)
NA,EPIGONUS PANDIONIS,144,168297,NA,NA
NA,CYNOSCION REGALIS,145,169241,WEAKFISH,(Bloch and Schneider, 1801)
NA,MENTICIRRHUS SAXATILIS,146,169276,NORTHERN KINGFISH,(Bloch and Schneider, 1801)
NA,POGONIAS CROMIS,147,169288,BLACK DRUM,(Linnaeus, 1766)
NA,BAIRDIELLA CHRYSOURA,148,169259,SILVER PERCH,(Lacepede, 1802)
NA,LEIOSTOMUS XANTHURUS,149,169267,SPOT,Lacepede, 1802
NA,HOWELLA SHERBORNI ,150,168333,SHERBORN'S CARDINALFISH,NA
NA,LOPHOLATILUS CHAMAELEONTICEPS,151,168546,TILEFISH,Goode and Bean, 1879
