strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
"INSHORE REGULAR","03220","MAB NEW JERSEY",154,3909,7437,3852,3910,7428,7451,27,2,,,,
"INSHORE REGULAR","03230","MAB NEW JERSEY",167,3909,7423,3850,3910,7409,7444,38,2,,,,
"INSHORE REGULAR","03240","MAB DELAWARE",53,3840,7503,3830,3856,7451,7505,16,1,,,,
"INSHORE REGULAR","03250","MAB DELAWARE",172,3845,7459,3830,3855,7444,7504,36,2,,,,
"INSHORE REGULAR","03260","MAB DELAWARE",154,3843,7450,3830,3852,7439,7458,34,2,,,,
"INSHORE REGULAR","03270","MAB MARYLAND",35,3812,7509,3800,3830,7501,7512,6,1,,,,
"INSHORE REGULAR","03280","MAB MARYLAND",220,3816,7501,3800,3830,7455,7513,46,2,,,,
"INSHORE REGULAR","03290","MAB MARYLAND",185,3817,7453,3800,3830,7448,7502,39,2,,,,
"INSHORE REGULAR","03300","MAB VIRGINIA",75,3751,7525,3732,3800,7512,7537,15,1,,,,
"INSHORE REGULAR","03310","MAB VIRGINIA",299,3747,7518,3732,3800,7501,7534,62,2,,,,
"INSHORE REGULAR","03320","MAB VIRGINIA",106,3744,7514,3732,3800,7458,7525,19,2,,,,
"INSHORE REGULAR","03330","MAB VIRGINIA",92,3723,7541,3710,3732,7533,7550,18,1,,,,
"INSHORE REGULAR","03340","MAB VIRGINIA",167,3721,7531,3710,3732,7526,7545,33,2,,,,
"INSHORE REGULAR","03350","MAB VIRGINIA",88,3720,7529,3710,3732,7522,7537,16,2,,,,
"INSHORE REGULAR","03360","MAB VIRGINIA",119,3658,7558,3630,3710,7545,7601,25,1,,,,
"INSHORE REGULAR","03370","MAB VIRGINIA",312,3655,7549,3630,3710,7537,7558,69,2,,,,
"INSHORE REGULAR","03380","MAB VIRGINIA",224,3650,7542,3630,3710,7534,7549,48,2,,,,
"INSHORE REGULAR","03390","MAB N CAROLINA",35,3613,7546,3550,3630,7532,7551,9,1,,,,
"INSHORE REGULAR","03400","MAB N CAROLINA",176,3620,7545,3550,3630,7527,7550,34,2,,,,
"INSHORE REGULAR","03410","MAB N CAROLINIA",383,3611,7533,3550,3630,7516,7543,81,2,,,,
"INSHORE REGULAR","03420","MAB N CAROLINIA",40,3532,7527,3514,3550,7525,7533,9,1,,,,
"INSHORE REGULAR","03430","MAB N CAROLINIA",172,3533,7524,3510,3550,7520,7532,30,2,,,,
"INSHORE REGULAR","03440","MAB N CAROLINIA",304,3533,7518,3509,3550,7512,7527,60,2,,,,
