region,spp,common,flagged
Eastern Bering Sea,Serripes groenlandicus,Greenland cockle,FALSE
Eastern Bering Sea,Serripes spp.,cockle,FALSE
Eastern Bering Sea,Siliqua alta,Alaska razor,FALSE
Eastern Bering Sea,Sipuncula spp.,peanut worms,FALSE
Eastern Bering Sea,Solaster spp.,sea stars,FALSE
Eastern Bering Sea,Strongylocentrotus droebachiensis,green sea urchin,FALSE
Eastern Bering Sea,Styela rustica,sea potato,FALSE
Eastern Bering Sea,Tellina lutea,Alaska great tellin,FALSE
Eastern Bering Sea,Telmessus cheiragonus,helmet crab,FALSE
Eastern Bering Sea,Thaleichthys pacificus,eulachon,FALSE
Eastern Bering Sea,Thoracica spp.,barnacles,FALSE
Eastern Bering Sea,Trichodon trichodon,Pacific sandfish,FALSE
Eastern Bering Sea,Triglops pingelii,ribbed sculpin,FALSE
Eastern Bering Sea,Triglops scepticus,spectacled sculpin,FALSE
Eastern Bering Sea,Tritonia diomedea,rosy tritonia,FALSE
Eastern Bering Sea,Tunicata spp.,tunicates,FALSE
Eastern Bering Sea,Urticina sp.,NA,FALSE
Eastern Bering Sea,Volutopsius fragilis,fragile whelk,FALSE
Eastern Bering Sea,Volutopsius spp.,true whelks,FALSE
Eastern Bering Sea,Zaprora silenus,prowfish,FALSE
Gulf of Alaska,Acantholithodes hispidus,spiny lithode crab,FALSE
Gulf of Alaska,Actiniaria spp.,anemones,FALSE
Gulf of Alaska,Allocentrotus fragilis,fragile urchin,FALSE
Gulf of Alaska,Ammodytes sp.,NA,FALSE
Gulf of Alaska,Anarhichas orientalis,Bering wolffish,FALSE
Gulf of Alaska,Anarrhichthys ocellatus,wolf-eel,FALSE
Gulf of Alaska,Anoplopoma fimbria,sablefish,FALSE
Gulf of Alaska,Aphrocallistes vastus,cloud sponge,FALSE
Gulf of Alaska,Aphroditidae spp.,sea mice,FALSE
Gulf of Alaska,Apostichopus californicus,California sea cucumber,FALSE
Gulf of Alaska,Aptocyclus ventricosus,smooth lumpsucker,FALSE
Gulf of Alaska,Arctomelon stearnsii,Alaska volute,FALSE
Gulf of Alaska,Argis dentata,Artic argid,FALSE
Gulf of Alaska,Argis spp.,argid shrimps,FALSE
Gulf of Alaska,Asterias amurensis,North Pacific seastar,FALSE
Gulf of Alaska,Asterozoa spp.,sea stars,FALSE
Gulf of Alaska,Atheresthes stomias,arrowtooth flounder,FALSE
Gulf of Alaska,Balanus spp.,barnacle,FALSE
Gulf of Alaska,Bathyagonus nigripinnis,blackfin poacher,FALSE
Gulf of Alaska,Bathyagonus pentacanthus,bigeye poacher,FALSE
Gulf of Alaska,Bathymaster signatus,searcher,FALSE
Gulf of Alaska,Bathyplotes spp.,sea cucumber,FALSE
Gulf of Alaska,Bathyraja spp.,roughtail skate,FALSE
Gulf of Alaska,Benthoctopus leioderma,smoothskin octopus,FALSE
Gulf of Alaska,Beringraja binoculata,NA,FALSE
Gulf of Alaska,Berryteuthis magister,magister armhook squid,FALSE
Gulf of Alaska,Bivalvia spp.,bivalves,FALSE
Gulf of Alaska,Bothrocara pusillum,Alaska eelpout,FALSE
Gulf of Alaska,Brachiopoda spp.,brachiopods,FALSE
Gulf of Alaska,Brisaster latifrons,sea urchin,FALSE
Gulf of Alaska,Bryozoa spp.,bryozoan shrimp,FALSE
Gulf of Alaska,Buccinum plectrum,sinuous whelk,FALSE
Gulf of Alaska,Buccinum spp.,true whelks,FALSE
Gulf of Alaska,Careproctus melanurus,blacktail snailfish,FALSE
Gulf of Alaska,Careproctus spp.,snailfishes,FALSE
Gulf of Alaska,Ceramaster patagonicus,cookie star,FALSE
Gulf of Alaska,Ceramaster spp.,cookie star,FALSE
Gulf of Alaska,Chauliodontinae spp.,viperfishes,FALSE
Gulf of Alaska,Chauliodus macouni,Pacific viperfish,FALSE
Gulf of Alaska,Cheiraster dawsoni,sea star,FALSE
Gulf of Alaska,Chionoecetes bairdi,tanner crab,FALSE
Gulf of Alaska,Chionoecetes tanneri,grooved Tanner crab,FALSE
Gulf of Alaska,Chirona evermanni,NA,FALSE
Gulf of Alaska,Chlamys rubida,reddish scallop,FALSE
Gulf of Alaska,Chlamys spp.,scallops,FALSE
Gulf of Alaska,Chorilia longipes,longhorn decorator crab,FALSE
Gulf of Alaska,Cidarina cidaris,NA,FALSE
Gulf of Alaska,Ciliatoclinocardium ciliatum,NA,FALSE
Gulf of Alaska,Citharichthys sordidus,Pacific sanddab,FALSE
Gulf of Alaska,Clinocardium spp.,Nuttall cockle,FALSE
Gulf of Alaska,Clupea pallasii,Pacific herring,FALSE
Gulf of Alaska,Coryphaenoides acrolepis,Pacific grenadier,FALSE
Gulf of Alaska,Coryphaenoides cinereus,Popeye grenadier,FALSE
Gulf of Alaska,Coryphaenoides pectoralis,NA,FALSE
Gulf of Alaska,Crangon communis,gray shrimp,FALSE
Gulf of Alaska,Crangon dalli,ridged crangon,FALSE
Gulf of Alaska,Crangon spp.,shrimps,FALSE
Gulf of Alaska,Crossaster borealis,grooved sun star,FALSE
Gulf of Alaska,Crossaster papposus,common sunstar,FALSE
Gulf of Alaska,Crossaster spp.,sunstar,FALSE
Gulf of Alaska,Cryptacanthodes giganteus,giant wrymouth,FALSE
Gulf of Alaska,Ctenodiscus crispatus,mud star,FALSE
Gulf of Alaska,Ctenophora,NA,FALSE
Gulf of Alaska,Cucumaria fallax,sea cucumber,FALSE
Gulf of Alaska,Cyanea capillata,lion's mane,FALSE
Gulf of Alaska,Dasycottus setiger,spinyhead sculpin,FALSE
Gulf of Alaska,Decapodiformes spp.,squids,FALSE
Gulf of Alaska,Diplopteraster multipes,cushion star,FALSE
Gulf of Alaska,Dipsacaster borealis,northern sand star,FALSE
Gulf of Alaska,Doris odhneri,NA,TRUE
Gulf of Alaska,Echinacea spp.,sea urchin,FALSE
Gulf of Alaska,Echinarachnius parma,common sand dollar,FALSE
Gulf of Alaska,Elassochirus cavimanus,purple hermit,FALSE
Gulf of Alaska,Elassochirus gilli,Pacific red hermit,FALSE
Gulf of Alaska,Elassochirus tenuimanus,widehand hermit,FALSE
Gulf of Alaska,Embassichthys bathybius,Deep-sea sole,FALSE
Gulf of Alaska,Enteroctopus dofleini,North Pacific giant octopus,FALSE
Gulf of Alaska,Eopsetta jordani,petrale sole,FALSE
Gulf of Alaska,Eumicrotremus orbis,Pacific spiny lumpsucker,FALSE
Gulf of Alaska,Evasterias echinosoma,sea star,FALSE
Gulf of Alaska,Evasterias troschelii,mottled star,FALSE
Gulf of Alaska,Fanellia compressa,NA,FALSE
Gulf of Alaska,Fusitriton oregonensis,Oregon triton,FALSE
Gulf of Alaska,Gadus chalcogrammus,walleye pollock,FALSE
Gulf of Alaska,Gadus macrocephalus,Pacific cod,FALSE
Gulf of Alaska,Gastropoda spp.,gastropods,FALSE
Gulf of Alaska,Gephyreaster swifti,Gunpowder Star,FALSE
Gulf of Alaska,Glebocarcinus oregonensis,pygmy rock crab,FALSE
Gulf of Alaska,Glyptocephalus zachirus,rex sole,FALSE
Gulf of Alaska,Gorgonocephalus eucnemis,basket star,FALSE
Gulf of Alaska,Gymnocanthus galeatus,armorhead sculpin,FALSE
Gulf of Alaska,Halichondria panicea,breadcrumb sponge,FALSE
Gulf of Alaska,Halocynthia aurantium,sea peach,FALSE
Gulf of Alaska,Hemilepidotus hemilepidotus,red Irish lord,FALSE
Gulf of Alaska,Hemilepidotus jordani,yellow Irish lord,FALSE
Gulf of Alaska,Hemitripterus bolini,bigmouth sculpin,FALSE
Gulf of Alaska,Henricia leviuscula,Pacific blood star,FALSE
Gulf of Alaska,Henricia spp.,sea star,FALSE
Gulf of Alaska,Hexactinellida spp.,sea sponge,FALSE
Gulf of Alaska,Hexagrammos decagrammus,kelp greenling,FALSE
Gulf of Alaska,Hexagrammos stelleri,whitespotted greenling,FALSE
Gulf of Alaska,Hippasteria phrygiana,trojan star,FALSE
Gulf of Alaska,Hippasteria sp.,NA,FALSE
Gulf of Alaska,Hippoglossoides elassodon,flathead sole,FALSE
Gulf of Alaska,Hippoglossus stenolepis,Pacific halibut,FALSE
Gulf of Alaska,Histodermella kagigunensis,NA,FALSE
Gulf of Alaska,Holothuroidea spp.,sea cucumbers,FALSE
Gulf of Alaska,Hyas lyratus,Pacific lyre crab,FALSE
Gulf of Alaska,Hydroidolina,NA,FALSE
Gulf of Alaska,Hydrolagus colliei,spotted ratfish,FALSE
Gulf of Alaska,Icelus spiniger,thorny sculpin,FALSE
Gulf of Alaska,Isopoda spp.,"pill bugs, wood lice and sea slaters",FALSE
Gulf of Alaska,Isopsetta isolepis,butter sole,FALSE
Gulf of Alaska,Labidochirus splendescens,splendid hermit,FALSE
Gulf of Alaska,Lampanyctus sp.,NA,FALSE
Gulf of Alaska,Laqueus californianus,California lamp shell,FALSE
Gulf of Alaska,Lebbeus groenlandicus,spiny lebbeid,FALSE
Gulf of Alaska,Lepidopsetta spp.,rock soles,FALSE
Gulf of Alaska,Leptasterias hylodes,NA,FALSE
Gulf of Alaska,Leptasterias spp.,six-rayed sea stars,FALSE
Gulf of Alaska,Leptoclinus maculatus,Daubed shanny,FALSE
Gulf of Alaska,Lethasterias nanimensis,black spined star,FALSE
Gulf of Alaska,Leuroglossus schmidti,northern smoothtongue,FALSE
Gulf of Alaska,Limanda aspera,yellowfin sole,FALSE
Gulf of Alaska,Liparidae spp.,snailfishes,FALSE
Gulf of Alaska,Liponema brevicornis,tentacle shedding anemone,FALSE
Gulf of Alaska,Lithodes aequispinus,golden king crab,FALSE
Gulf of Alaska,Lithodes couesi,scarlet king crab,FALSE
Gulf of Alaska,Lopholithodes foraminatus,brown box crab,FALSE
Gulf of Alaska,Luidia foliolata,sand star,TRUE
Gulf of Alaska,Lumpenella longirostris,longsnout prickleback,FALSE
Gulf of Alaska,Lumpenus sagitta,snake prickleback,FALSE
Gulf of Alaska,Lycodes beringi,Bering eelpout,FALSE
Gulf of Alaska,Lycodes brevipes,shortfin eelpout,FALSE
Gulf of Alaska,Lycodes pacificus,blackbelly eelpout,FALSE
Gulf of Alaska,Lycodes palearis,wattled eelpout,FALSE
Gulf of Alaska,Lyopsetta exilis,slender sole,FALSE
Gulf of Alaska,Malacocottus zonurus,darkfin sculpin,FALSE
Gulf of Alaska,Mallotus villosus,capelin,FALSE
Gulf of Alaska,Mediaster aequalis,Vermilion star,FALSE
Gulf of Alaska,Merluccius productus,Pacific hake,FALSE
Gulf of Alaska,Metacarcinus magister,dungeness crab,FALSE
Gulf of Alaska,Metridium spp.,plumose anemones,FALSE
Gulf of Alaska,Microgadus proximus,Pacific tomcod,FALSE
Gulf of Alaska,Microstomus pacificus,Dover sole,FALSE
Gulf of Alaska,Modiolus modiolus,northern horsemussel,TRUE
Gulf of Alaska,Molpadia intermedia,sea cucumber,FALSE
Gulf of Alaska,Monanchora pulchra,NA,FALSE
Gulf of Alaska,Munida quadrispina,squat lobster,FALSE
Gulf of Alaska,Mycale loveni,tree sponge,FALSE
Gulf of Alaska,Myctophidae spp.,lanternfishes,FALSE
Gulf of Alaska,Myoxocephalus spp.,daddy sculpins,FALSE
Gulf of Alaska,Neptunea amianta,true whelk,FALSE
Gulf of Alaska,Neptunea lyrata,lyre whelk,FALSE
Gulf of Alaska,Neptunea pribiloffensis,Pribilof whelk,TRUE
Gulf of Alaska,Neptunea spp.,true whelks,FALSE
Gulf of Alaska,Notostomum cyclostomum,annelid,FALSE
Gulf of Alaska,Nudibranchia spp.,nudibranchs,FALSE
Gulf of Alaska,Octopodidae spp.,octopuses,FALSE
Gulf of Alaska,Oncorhynchus gorbuscha,pink salmon,FALSE
Gulf of Alaska,Oncorhynchus keta,chum salmon,FALSE
Gulf of Alaska,Oncorhynchus kisutch,coho salmon,FALSE
Gulf of Alaska,Oncorhynchus nerka,sockeye salmon,FALSE
Gulf of Alaska,Oncorhynchus tshawytscha,Chinook salmon,FALSE
Gulf of Alaska,Ophiodon elongatus,lingcod,FALSE
Gulf of Alaska,Ophiopholis aculeata,daisy brittle star,FALSE
Gulf of Alaska,Ophiopholis sp.,NA,FALSE
Gulf of Alaska,Ophiura sarsii,NA,FALSE
Gulf of Alaska,Ophiuroidea spp.,brittle stars,FALSE
Gulf of Alaska,Opisthoteuthis californiana,flapjack octopus,FALSE
Gulf of Alaska,Oregonia gracilis,graceful decorator crab,FALSE
Gulf of Alaska,Orthasterias koehleri,rainbow star,FALSE
Gulf of Alaska,Osmeridae spp.,smelts,FALSE
Gulf of Alaska,Paguridae spp.,right-handed hermit crabs,FALSE
Gulf of Alaska,Pagurus aleuticus,Aleutian hermit,FALSE
Gulf of Alaska,Pagurus brandti,sponge hermit,FALSE
Gulf of Alaska,Pagurus capillatus,fuzzy hermit crab,FALSE
Gulf of Alaska,Pagurus confragosus,knobbyhand hermit,FALSE
Gulf of Alaska,Pagurus kennerlyi,bluespine hermit,FALSE
Gulf of Alaska,Pagurus ochotensis,Alaskan hermit crab,TRUE
Gulf of Alaska,Pagurus rathbuni,longfinger hermit,FALSE
Gulf of Alaska,Pagurus spp.,hermit crabs,FALSE
Gulf of Alaska,Pagurus tanneri,longhand hermit,FALSE
Gulf of Alaska,Pagurus trigonocheirus,fuzzy hermit,FALSE
Gulf of Alaska,Pandalopsis dispar,sidestripe shrimp,FALSE
Gulf of Alaska,Pandalus eous,Alaskan pink shrimp,FALSE
Gulf of Alaska,Pandalus hypsinotus,coonstriped shrimp,FALSE
Gulf of Alaska,Pandalus jordani,ocean shrimp,FALSE
Gulf of Alaska,Pandalus platyceros,spot shrimp,FALSE
Gulf of Alaska,Pandalus spp.,shrimp,FALSE
Gulf of Alaska,Pandalus tridens,yellowleg pandalid,FALSE
Gulf of Alaska,Paraliparis dactylosus,Red snailfish,FALSE
Gulf of Alaska,Paralithodes camtschaticus,red king crab,FALSE
Gulf of Alaska,Parophrys vetulus,English sole,FALSE
Gulf of Alaska,Pasiphaea pacifica,Pacific glass shrimp,FALSE
Gulf of Alaska,Patinopecten caurinus,weathervane scallop,FALSE
Gulf of Alaska,Pennatulacea spp.,sea panzies,FALSE
Gulf of Alaska,Placetron wosnessenskii,scaled crab,FALSE
Gulf of Alaska,Platichthys stellatus,starry flounder,FALSE
Gulf of Alaska,Pleurogrammus monopterygius,Atka mackerel,FALSE
Gulf of Alaska,Pleuronectes quadrituberculatus,Alaska plaice,FALSE
Gulf of Alaska,Pododesmus macrochisma,green falsejingle,FALSE
Gulf of Alaska,Podothecus accipenserinus,sturgeon poacher,FALSE
Gulf of Alaska,Polychaeta spp.,polychaetes,FALSE
Gulf of Alaska,Polyplacophora spp.,chitons,FALSE
Gulf of Alaska,Poraniopsis inflata,spiny sea star,FALSE
Gulf of Alaska,Porifera spp.,sponges,FALSE
Gulf of Alaska,Poroclinus rothrocki,whitebarred prickleback,FALSE
Gulf of Alaska,Psettichthys melanostictus,Pacific sand sole,FALSE
Gulf of Alaska,Pseudarchaster parelii,northern scarlet star,FALSE
Gulf of Alaska,Pseudostichopus mollis,sea cucumber,FALSE
Gulf of Alaska,Psolus spp.,sea cucumber,FALSE
Gulf of Alaska,Pteraster militaris,wrinkled star,FALSE
Gulf of Alaska,Pteraster spp.,slime stars,FALSE
Gulf of Alaska,Pteraster tesselatus,cushion star,TRUE
Gulf of Alaska,Ptilosarcus gurneyi,Gurney's sea pen,FALSE
Gulf of Alaska,Pycnopodia helianthoides,sunflower sea star,FALSE
Gulf of Alaska,Pyrulofusus harpa,left-hand whelk,FALSE
Gulf of Alaska,Raja rhina,longnose skate,FALSE
Gulf of Alaska,Rhabdocalyptus sp.,NA,FALSE
Gulf of Alaska,Rhamphocottus richardsoni,grunt sculpin,FALSE
Gulf of Alaska,Rhinolithodes wosnessenskii,rhinoceros crab,FALSE
Gulf of Alaska,Rossia pacifica,eastern pacific bobtail,FALSE
Gulf of Alaska,Sarritor frenatus,sawback poacher,FALSE
Gulf of Alaska,Scyphozoa spp.,jellyfishes,FALSE
Gulf of Alaska,Sebastes alutus,Pacific ocean perch,FALSE
Gulf of Alaska,Sebastes babcocki,redbanded rockfish,FALSE
Gulf of Alaska,Sebastes borealis,shortraker rockfish,FALSE
Gulf of Alaska,Sebastes brevispinis,silvergray rockfish,FALSE
Gulf of Alaska,Sebastes ciliatus,Dusky rockfish,FALSE
Gulf of Alaska,Sebastes crameri,darkblotched rockfish,FALSE
Gulf of Alaska,Sebastes diploproa,splitnose rockfish,FALSE
Gulf of Alaska,Sebastes elongatus,greenstriped rockfish,FALSE
Gulf of Alaska,Sebastes entomelas,widow rockfish,FALSE
Gulf of Alaska,Sebastes flavidus,yellowtail rockfish,FALSE
Gulf of Alaska,Sebastes helvomaculatus,rosethorn rockfish,FALSE
Gulf of Alaska,Sebastes maliger,quillback rockfish,FALSE
Gulf of Alaska,Sebastes melanops,black rockfish,FALSE
Gulf of Alaska,Sebastes pinniger,canary rockfish,FALSE
Gulf of Alaska,Sebastes polyspinis,northern rockfish,FALSE
Gulf of Alaska,Sebastes proriger,redstripe rockfish,FALSE
Gulf of Alaska,Sebastes reedi,yellowmouth rockfish,FALSE
Gulf of Alaska,Sebastes ruberrimus,rasphead rockfish,FALSE
Gulf of Alaska,Sebastes spp.,rockfishes,FALSE
Gulf of Alaska,Sebastes variabilis,dusky rockfish,FALSE
Gulf of Alaska,Sebastes variegatus,harlequin rockfish,FALSE
Gulf of Alaska,Sebastes wilsoni,pygmy rockfish,FALSE
Gulf of Alaska,Sebastes zacentrus,sharpchin rockfish,FALSE
Gulf of Alaska,Sebastolobus alascanus,shortspine thornyhead,FALSE
Gulf of Alaska,Serripes groenlandicus,Greenland cockle,FALSE
Gulf of Alaska,Sipuncula spp.,peanut worms,FALSE
Gulf of Alaska,Solaster spp.,sea stars,FALSE
Gulf of Alaska,Solaster stimpsoni,Stimpson's sun star,FALSE
Gulf of Alaska,Somniosus pacificus,Pacific sleeper shark,FALSE
Gulf of Alaska,Spirinchus thaleichthys,longfin smelt,FALSE
Gulf of Alaska,Squalus suckleyi,Pacific spiny dogfish,FALSE
Gulf of Alaska,Stegophiura ponderosa,sea star,FALSE
Gulf of Alaska,Stenobrachius leucopsarus,northern lampfish,FALSE
Gulf of Alaska,Stenobrachius sp.,NA,FALSE
Gulf of Alaska,Stomphia sp.,NA,FALSE
Gulf of Alaska,Strongylocentrotus droebachiensis,green sea urchin,FALSE
Gulf of Alaska,Styela rustica,sea potato,FALSE
Gulf of Alaska,Stylaster sp.,NA,FALSE
Gulf of Alaska,Stylasterias forreri,velcro star,FALSE
Gulf of Alaska,Suberites sp.,NA,TRUE
Gulf of Alaska,Tactostoma macropus,longfin dragonfish,FALSE
Gulf of Alaska,Terebratalia transversa,common lamp shell,FALSE
Gulf of Alaska,Tethya sp.,NA,FALSE
Gulf of Alaska,Thaleichthys pacificus,eulachon,FALSE
Gulf of Alaska,Thaliacea spp.,pelagic tunicates,FALSE
Gulf of Alaska,Thoracica spp.,barnacles,FALSE
Gulf of Alaska,Tochuina gigantea,NA,FALSE
Gulf of Alaska,Trichodon trichodon,Pacific sandfish,FALSE
Gulf of Alaska,Triglops forficatus,scissortail sculpin,FALSE
Gulf of Alaska,Triglops macellus,roughspine sculpin,FALSE
Gulf of Alaska,Triglops pingelii,ribbed sculpin,FALSE
Gulf of Alaska,Triglops scepticus,spectacled sculpin,FALSE
Gulf of Alaska,Tritonia spp.,nudibranch,FALSE
Gulf of Alaska,Tunicata spp.,tunicates,FALSE
Gulf of Alaska,Yoldia sp.,NA,FALSE
Gulf of Alaska,Zaprora silenus,prowfish,FALSE
Gulf of Mexico,Achelous spinicarpus,longspine swimming crab,FALSE
Gulf of Mexico,Achelous spinimanus,blotched swimming crab,FALSE
Gulf of Mexico,Aluterus schoepfii,Orange filefish,FALSE
Gulf of Mexico,Amusium papyraceum,paper scallop,FALSE
Gulf of Mexico,Anadara baughmani,skewed ark,FALSE
Gulf of Mexico,Anasimus latus,stilt spider crab,FALSE
Gulf of Mexico,Anchoa hepsetus,striped anchovy,FALSE
Gulf of Mexico,Anchoa mitchilli,bay anchovy,FALSE
Gulf of Mexico,Ancylopsetta dilecta,three-eye flounder,FALSE
Gulf of Mexico,Ancylopsetta ommata,ocellated flounder,FALSE
Gulf of Mexico,Antennarius radiosus,singlespot frogfish,FALSE
Gulf of Mexico,Aplysia,NA,FALSE
Gulf of Mexico,Arenaeus cribrarius,speckled swimming crab,FALSE
Gulf of Mexico,Argopecten gibbus,Calico scallop,FALSE
Gulf of Mexico,Ariopsis felis,hardhead catfish,FALSE
Gulf of Mexico,Aurelia spp.,moon jellies,FALSE
Gulf of Mexico,Bagre marinus,Gafftopsail catfish,FALSE
Gulf of Mexico,Bairdiella chrysoura,silver perch,FALSE
Gulf of Mexico,Balistes capriscus,gray triggerfish,FALSE
Gulf of Mexico,Bathyanthias mexicanus,Yellowtail bass,FALSE
Gulf of Mexico,Bellator militaris,horned searobin,FALSE
Gulf of Mexico,Bollmannia communis,ragged goby,FALSE
Gulf of Mexico,Bothus,NA,FALSE
Gulf of Mexico,Bregmaceros atlanticus,antenna codlet,FALSE
Gulf of Mexico,Brevoortia patronus,Gulf menhaden,FALSE
Gulf of Mexico,Brotula barbata,bearded brotula,FALSE
Gulf of Mexico,Calappa flammea,flame box crab,FALSE
Gulf of Mexico,Calappa sulcata,yellow box crab,FALSE
Gulf of Mexico,Callinectes sapidus,blue crab,FALSE
Gulf of Mexico,Callinectes similis,lesser blue crab,FALSE
Gulf of Mexico,Caranx crysos,blue runner,FALSE
Gulf of Mexico,Caulolatilus intermedius,anchor tilefish,FALSE
Gulf of Mexico,Centropristis ocyurus,Bank sea bass,FALSE
Gulf of Mexico,Centropristis philadelphica,rock sea bass,FALSE
Gulf of Mexico,Chaetodipterus faber,Atlantic spadefish,FALSE
Gulf of Mexico,Chilomycterus schoepfii,striped burrfish,FALSE
Gulf of Mexico,Chloroscombrus chrysurus,Atlantic bumper,FALSE
Gulf of Mexico,Chrysaora quinquecirrha,sea nettle,FALSE
Gulf of Mexico,Citharichthys macrops,spotted whiff,FALSE
Gulf of Mexico,Citharichthys spilopterus,bay whiff,FALSE
Gulf of Mexico,Clypeaster,NA,FALSE
Gulf of Mexico,Cyclopsetta chittendeni,Mexican flounder,FALSE
Gulf of Mexico,Cyclopsetta fimbriata,Spotfin flounder,FALSE
Gulf of Mexico,Cynoscion spp.,weakfishes,FALSE
Gulf of Mexico,Decapterus punctatus,round scad,FALSE
Gulf of Mexico,Decodon puellaris,Red hogfish,FALSE
Gulf of Mexico,Diplectrum bivittatum,dwarf sand perch,FALSE
Gulf of Mexico,Diplectrum formosum,sand perch,FALSE
Gulf of Mexico,Distorsio clathrata,Atlantic distorsio,FALSE
Gulf of Mexico,Echeneis naucrates,sharksucker,FALSE
Gulf of Mexico,Engyophrys senta,spiny flounder,FALSE
Gulf of Mexico,Etropus crossotus,fringed flounder,FALSE
Gulf of Mexico,Etrumeus teres,round herring,FALSE
Gulf of Mexico,Eucinostomus gula,silver jenny,FALSE
Gulf of Mexico,Gymnachirus texae,fringed sole,FALSE
Gulf of Mexico,Gymnothorax nigromarginatus,Blackedge moray,FALSE
Gulf of Mexico,Gymnothorax saxicola,Honeycomb moray,FALSE
Gulf of Mexico,Haemulon aurolineatum,tomtate,FALSE
Gulf of Mexico,Halieutichthys aculeatus,pancake batfish,FALSE
Gulf of Mexico,Harengula jaguana,scaled sardine,FALSE
Gulf of Mexico,Hepatus epheliticus,calico box crab,FALSE
Gulf of Mexico,Hippocampus erectus,lined seahorse,FALSE
Gulf of Mexico,Hoplunnis macrura,freckled pike-conger,FALSE
Gulf of Mexico,Kathetostoma albigutta,lancer stargazer,FALSE
Gulf of Mexico,Lagocephalus laevigatus,smooth puffer,FALSE
Gulf of Mexico,Lagodon rhomboides,pinfish,FALSE
Gulf of Mexico,Larimus fasciatus,banded drum,FALSE
Gulf of Mexico,Leiolambrus nitidus,white elbow crab,FALSE
Gulf of Mexico,Leiostomus xanthurus,spot,FALSE
Gulf of Mexico,Lepophidium brevibarbe,blackedge cusk-eel,FALSE
Gulf of Mexico,Lepophidium jeannae,mottled cusk-eel,FALSE
Gulf of Mexico,Libinia emarginata,portly spider crab,FALSE
Gulf of Mexico,Litopenaeus setiferus,northern white shrimp,FALSE
Gulf of Mexico,Loligo pealeii,longfin inshore squid,FALSE
Gulf of Mexico,Loligo pleii,slender inshore squid,FALSE
Gulf of Mexico,Loligo spp.,Loligo squids,FALSE
Gulf of Mexico,Lolliguncula brevis,Atlantic brief squid,FALSE
Gulf of Mexico,Luidia clathrata,lined sea star,FALSE
Gulf of Mexico,Lutjanus campechanus,red snapper,FALSE
Gulf of Mexico,Lutjanus synagris,lane snapper,FALSE
Gulf of Mexico,Menticirrhus americanus,southern kingfish,FALSE
Gulf of Mexico,Micropogonias undulatus,Atlantic croaker,FALSE
Gulf of Mexico,Mullus auratus,red goatfish,FALSE
Gulf of Mexico,Mustelus canis,smooth dogfish,FALSE
Gulf of Mexico,Myropsis quinquespinosa,fivespine purse crab,FALSE
Gulf of Mexico,Narcine brasiliensis,lesser electric ray,FALSE
Gulf of Mexico,Neobythites gilli,Twospot brotula,FALSE
Gulf of Mexico,Neomerinthe hemingwayi,Spinycheek scorpionfish,FALSE
Gulf of Mexico,Octopus vulgaris,common octopus,FALSE
Gulf of Mexico,Ogcocephalus declivirostris,slantbrow batfish,FALSE
Gulf of Mexico,Ogcocephalus radiatus,Polka-dot batfish,FALSE
Gulf of Mexico,Ophichthus gomesii,shrimp eel,FALSE
Gulf of Mexico,Ophidion grayi,blotched cusk-eel,FALSE
Gulf of Mexico,Ophidion holbrookii,bank cusk-eel,FALSE
Gulf of Mexico,Ophidion welshi,crested cusk-eel,FALSE
Gulf of Mexico,Opisthonema oglinum,Atlantic thread herring,FALSE
Gulf of Mexico,Opsanus,NA,FALSE
Gulf of Mexico,Orthopristis chrysoptera,pigfish,FALSE
Gulf of Mexico,Ovalipes floridanus,Florida lady crab,FALSE
Gulf of Mexico,Pagrus pagrus,Red porgy,FALSE
Gulf of Mexico,Paralichthys lethostigma,southern flounder,FALSE
Gulf of Mexico,Paralichthys squamilentus,broad flounder,FALSE
Gulf of Mexico,Parapenaeus politus,rose shrimp,FALSE
Gulf of Mexico,Pareques umbrosus,cubbyu,FALSE
Gulf of Mexico,Parthenope granulata,NA,FALSE
Gulf of Mexico,Penaeus aztecus,brown shrimp,FALSE
Gulf of Mexico,Penaeus duorarum,northern pink shrimp,FALSE
Gulf of Mexico,Pentrochirus diogenes,giant hermit,FALSE
Gulf of Mexico,Peprilus alepidotus,harvestfish,FALSE
Gulf of Mexico,Peprilus burti,Gulf butterfish,FALSE
Gulf of Mexico,Peristedion gracile,Slender searobin,FALSE
Gulf of Mexico,Persephona crinita,pink purse crab,FALSE
Gulf of Mexico,Persephona mediterranea,mottled purse crab,FALSE
Gulf of Mexico,Pitar cordatus,NA,FALSE
Gulf of Mexico,Podochela sidneyi,shortfinger neck crab,FALSE
Gulf of Mexico,Polydactylus octonemus,Atlantic threadfin,FALSE
Gulf of Mexico,Pomatomus saltatrix,bluefish,FALSE
Gulf of Mexico,Pontinus longispinis,Longspine scorpionfish,FALSE
Gulf of Mexico,Porcellana sayana,spotted porcelain crab,FALSE
Gulf of Mexico,Porichthys plectrodon,Atlantic midshipman,FALSE
Gulf of Mexico,Porifera spp.,sponges,FALSE
Gulf of Mexico,Portunus gibbesii,iridescent swimming crab,FALSE
Gulf of Mexico,Portunus sayi,sargassum swimming crab,FALSE
Gulf of Mexico,Priacanthus arenatus,bigeye,FALSE
Gulf of Mexico,Prionotus longispinosus,bigeye searobin,FALSE
Gulf of Mexico,Prionotus ophryas,bandtail searobin,FALSE
Gulf of Mexico,Prionotus paralatus,Mexican searobin,FALSE
